imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/66399653.jpg|Union Hangar|1.0|3.0
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|1.0|3.0
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|1.0|3.0
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|1.0|2.667
https://images.ygoprodeck.com/images/cards/84792926.jpg|Therion Discolosseum|1.0|2.667
https://images.ygoprodeck.com/images/cards/77411244.jpg|B-Buster Drake|1.0|2.333
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|1.0|2.333
https://images.ygoprodeck.com/images/cards/3405259.jpg|C-Crush Wyvern|1.0|2.0
https://images.ygoprodeck.com/images/cards/30012506.jpg|A-Assault Core|1.0|2.0
https://images.ygoprodeck.com/images/cards/73468603.jpg|Set Rotation|1.0|1.0
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|1.0|1.0
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|1.0|1.0
https://images.ygoprodeck.com/images/cards/99249638.jpg|Union Driver|1.0|1.0
https://images.ygoprodeck.com/images/cards/3285551.jpg|Rite of Aramesir|0.667|2.5
https://images.ygoprodeck.com/images/cards/12524259.jpg|Unauthorized Reactivation|0.667|2.5
https://images.ygoprodeck.com/images/cards/30680659.jpg|Water Enchantress of the Temple|0.667|2.0
https://images.ygoprodeck.com/images/cards/2563463.jpg|Wandering Gryphon Rider|0.667|1.0
https://images.ygoprodeck.com/images/cards/38745520.jpg|Dracoback, the Rideable Dragon|0.667|1.0
https://images.ygoprodeck.com/images/cards/39568067.jpg|Fateful Adventure|0.667|1.0
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|0.667|1.0
https://images.ygoprodeck.com/images/cards/96363153.jpg|Tuning|0.333|3.0
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|0.333|3.0
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|0.333|3.0
https://images.ygoprodeck.com/images/cards/97682931.jpg|Revolution Synchron|0.333|2.0
https://images.ygoprodeck.com/images/cards/76375976.jpg|Mystic Mine|0.333|1.0
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|0.333|1.0
https://images.ygoprodeck.com/images/cards/9742784.jpg|Jet Synchron|0.333|1.0
https://images.ygoprodeck.com/images/cards/79538761.jpg|Torque Tune Gear|0.333|1.0
https://images.ygoprodeck.com/images/cards/5560911.jpg|Destrudo the Lost Dragon's Frisson|0.333|1.0
https://images.ygoprodeck.com/images/cards/55010259.jpg|Gold Gadget|0.333|1.0
https://images.ygoprodeck.com/images/cards/62265044.jpg|Dragon Ravine|0.333|1.0
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|0.333|1.0
