name|code|imgSource|deckPerc|avgCount
Dark Ruler No More|54693926|https://images.ygoprodeck.com/images/cards_small/54693926.jpg|0.667|3.0
D.D. Crow|24508238|https://images.ygoprodeck.com/images/cards_small/24508238.jpg|0.667|3.0
Nibiru, the Primal Being|27204311|https://images.ygoprodeck.com/images/cards_small/27204311.jpg|0.667|2.5
Twin Twisters|43898403|https://images.ygoprodeck.com/images/cards_small/43898403.jpg|0.667|2.0
Dimensional Barrier|83326048|https://images.ygoprodeck.com/images/cards_small/83326048.jpg|0.333|3.0
Skill Drain|82732705|https://images.ygoprodeck.com/images/cards_small/82732705.jpg|0.333|3.0
Lightning Storm|14532163|https://images.ygoprodeck.com/images/cards_small/14532163.jpg|0.333|3.0
Cosmic Cyclone|8267140|https://images.ygoprodeck.com/images/cards_small/8267140.jpg|0.333|3.0
Evenly Matched|15693423|https://images.ygoprodeck.com/images/cards_small/15693423.jpg|0.333|3.0
Droll & Lock Bird|94145021|https://images.ygoprodeck.com/images/cards_small/94145021.jpg|0.333|3.0
Mystic Mine|76375976|https://images.ygoprodeck.com/images/cards_small/76375976.jpg|0.333|2.0
Secret Village of the Spellcasters|68462976|https://images.ygoprodeck.com/images/cards_small/68462976.jpg|0.333|1.0
Illegal Knight|42198835|https://images.ygoprodeck.com/images/cards_small/42198835.jpg|0.333|1.0
Red Reboot|23002292|https://images.ygoprodeck.com/images/cards_small/23002292.jpg|0.333|1.0
Harpie's Feather Duster|18144507|https://images.ygoprodeck.com/images/cards_small/18144507.jpg|0.333|1.0
