image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|100.00%|2.93
https://images.ygoprodeck.com/images/cards/44362883.jpg|Branded Fusion|100.00%|2.89
https://images.ygoprodeck.com/images/cards/36637374.jpg|Branded Opening|97.10%|2.98
https://images.ygoprodeck.com/images/cards/62962630.jpg|Aluber the Jester of Despia|97.10%|2.84
https://images.ygoprodeck.com/images/cards/25451383.jpg|Albion the Shrouded Dragon|97.10%|2.48
https://images.ygoprodeck.com/images/cards/95515789.jpg|Blazing Cartesia, the Virtuous|95.70%|2.37
https://images.ygoprodeck.com/images/cards/82738008.jpg|Branded in Red|95.70%|1.51
https://images.ygoprodeck.com/images/cards/17751597.jpg|Branded Retribution|95.70%|1.01
https://images.ygoprodeck.com/images/cards/6498706.jpg|Fusion Deployment|94.30%|3.00
https://images.ygoprodeck.com/images/cards/45883110.jpg|Guiding Quem, the Virtuous|94.30%|1.62
https://images.ygoprodeck.com/images/cards/19096726.jpg|Tri-Brigade Mercourier|94.30%|1.44
https://images.ygoprodeck.com/images/cards/36577931.jpg|Despian Tragedy|92.90%|1.29
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|91.40%|1.67
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|90.00%|1.56
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|90.00%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|88.60%|2.92
https://images.ygoprodeck.com/images/cards/43331750.jpg|Fusion Duplication|88.60%|1.35
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|88.60%|1.15
https://images.ygoprodeck.com/images/cards/18973184.jpg|Branded Lost|87.10%|1.03
https://images.ygoprodeck.com/images/cards/45484331.jpg|Springans Kitt|80.00%|1.00
https://images.ygoprodeck.com/images/cards/55204071.jpg|Gimmick Puppet Nightmare|80.00%|1.00
https://images.ygoprodeck.com/images/cards/29948294.jpg|Branded in High Spirits|78.60%|1.91
https://images.ygoprodeck.com/images/cards/75500286.jpg|Gold Sarcophagus|72.90%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|60.00%|2.88
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|54.30%|1.00
https://images.ygoprodeck.com/images/cards/1475311.jpg|Allure of Darkness|52.90%|2.95
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|32.90%|2.87
https://images.ygoprodeck.com/images/cards/81555617.jpg|Ad Libitum of Despia|32.90%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|27.10%|2.74
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|21.40%|3.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|21.40%|1.00
https://images.ygoprodeck.com/images/cards/34995106.jpg|Branded in White|21.40%|1.00
https://images.ygoprodeck.com/images/cards/61173621.jpg|Edge Imp Chain|20.00%|2.64
https://images.ygoprodeck.com/images/cards/34773082.jpg|Frightfur Patchwork|20.00%|2.50
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|20.00%|1.50
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|18.60%|2.92
