imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/46947713.jpg|Transcode Talker|1.0|1.25
https://images.ygoprodeck.com/images/cards/59859086.jpg|Splash Mage|1.0|1.25
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|1.0|1.0
https://images.ygoprodeck.com/images/cards/14812471.jpg|Salamangreat Balelynx|0.75|2.0
https://images.ygoprodeck.com/images/cards/24842059.jpg|Linguriboh|0.75|1.333
https://images.ygoprodeck.com/images/cards/88093706.jpg|Update Jammer|0.75|1.0
https://images.ygoprodeck.com/images/cards/85692042.jpg|Primathmech Alembertian|0.5|1.5
https://images.ygoprodeck.com/images/cards/45462149.jpg|Code Talker Inverted|0.5|1.0
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|0.5|1.0
https://images.ygoprodeck.com/images/cards/40669071.jpg|Excode Talker|0.5|1.0
https://images.ygoprodeck.com/images/cards/88021907.jpg|Primathmech Laplacian|0.5|1.0
https://images.ygoprodeck.com/images/cards/5043010.jpg|Firewall Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/61245672.jpg|Decode Talker Heatsoul|0.5|1.0
https://images.ygoprodeck.com/images/cards/53413628.jpg|Code Talker|0.5|1.0
https://images.ygoprodeck.com/images/cards/87871125.jpg|Salamangreat Sunlight Wolf|0.25|2.0
https://images.ygoprodeck.com/images/cards/58036229.jpg|Protectcode Talker|0.25|1.0
https://images.ygoprodeck.com/images/cards/33897356.jpg|Shootingcode Talker|0.25|1.0
https://images.ygoprodeck.com/images/cards/52698008.jpg|Cyberse Wicckid|0.25|1.0
https://images.ygoprodeck.com/images/cards/96380700.jpg|Talkback Lancer|0.25|1.0
https://images.ygoprodeck.com/images/cards/87327776.jpg|Salamangreat Miragestallio|0.25|1.0
https://images.ygoprodeck.com/images/cards/11674673.jpg|Cyberse Witch|0.25|1.0
https://images.ygoprodeck.com/images/cards/38342336.jpg|Knightmare Unicorn|0.25|1.0
https://images.ygoprodeck.com/images/cards/21887175.jpg|Mekk-Knight Crusadia Avramax|0.25|1.0
https://images.ygoprodeck.com/images/cards/92422871.jpg|Cyberse Desavewurm|0.25|1.0
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|0.25|1.0
https://images.ygoprodeck.com/images/cards/21637210.jpg|Firewall Dragon Singularity|0.25|1.0
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|0.25|1.0
https://images.ygoprodeck.com/images/cards/98978921.jpg|Link Spider|0.25|1.0
https://images.ygoprodeck.com/images/cards/68934651.jpg|Firewall Dragon Darkfluid|0.25|1.0
