imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|1.0|3.0
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|1.0|2.667
https://images.ygoprodeck.com/images/cards/33280639.jpg|Prologue of the Destruction Swordsman|1.0|2.667
https://images.ygoprodeck.com/images/cards/49823708.jpg|Buster Whelp of the Destruction Swordsman|1.0|2.333
https://images.ygoprodeck.com/images/cards/32104431.jpg|Destruction Sword Memories|1.0|1.667
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|0.667|3.0
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|0.667|3.0
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.667|3.0
https://images.ygoprodeck.com/images/cards/3428069.jpg|Buster Blader, the Destruction Swordmaster|0.667|2.0
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.667|1.0
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|0.333|3.0
https://images.ygoprodeck.com/images/cards/91810826.jpg|Tenpai Dragon Chundra|0.333|3.0
https://images.ygoprodeck.com/images/cards/5697558.jpg|The Hidden City|0.333|3.0
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|0.333|3.0
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|0.333|3.0
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.333|3.0
https://images.ygoprodeck.com/images/cards/23657016.jpg|Tenpai Dragon Genroku|0.333|3.0
https://images.ygoprodeck.com/images/cards/60303688.jpg|Dogmatika Ecclesia, the Virtuous|0.333|3.0
https://images.ygoprodeck.com/images/cards/93969023.jpg|Black Metal Dragon|0.333|3.0
https://images.ygoprodeck.com/images/cards/66730191.jpg|Sangen Kaimen|0.333|3.0
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.333|3.0
https://images.ygoprodeck.com/images/cards/6172122.jpg|Red-Eyes Fusion|0.333|3.0
https://images.ygoprodeck.com/images/cards/1984618.jpg|Nadir Servant|0.333|3.0
https://images.ygoprodeck.com/images/cards/70825459.jpg|Trap Tracks|0.333|3.0
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|0.333|3.0
https://images.ygoprodeck.com/images/cards/9822220.jpg|Lord of the Heavenly Prison|0.333|2.0
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|0.333|2.0
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|0.333|2.0
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|0.333|2.0
https://images.ygoprodeck.com/images/cards/20899496.jpg|Ice Dragon's Prison|0.333|2.0
https://images.ygoprodeck.com/images/cards/38761908.jpg|Paleozoic Dinomischus|0.333|2.0
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|0.333|2.0
https://images.ygoprodeck.com/images/cards/82956214.jpg|Dogmatika Punishment|0.333|2.0
https://images.ygoprodeck.com/images/cards/74762582.jpg|Subterror Fiendess|0.333|2.0
https://images.ygoprodeck.com/images/cards/16428514.jpg|Subterror Guru|0.333|2.0
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|0.333|1.0
https://images.ygoprodeck.com/images/cards/88264978.jpg|Red-Eyes Darkness Metal Dragon|0.333|1.0
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|0.333|1.0
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|0.333|1.0
https://images.ygoprodeck.com/images/cards/69680031.jpg|Dogmatika Fleurdelis, the Knighted|0.333|1.0
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|0.333|1.0
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|0.333|1.0
https://images.ygoprodeck.com/images/cards/78193831.jpg|Buster Blader|0.333|1.0
https://images.ygoprodeck.com/images/cards/95679145.jpg|Dogmatika Maximus|0.333|1.0
https://images.ygoprodeck.com/images/cards/46986414.jpg|Dark Magician|0.333|1.0
https://images.ygoprodeck.com/images/cards/74677422.jpg|Red-Eyes Black Dragon|0.333|1.0
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|0.333|1.0
https://images.ygoprodeck.com/images/cards/76218313.jpg|Dragon Buster Destruction Sword|0.333|1.0
https://images.ygoprodeck.com/images/cards/30336082.jpg|Sangen Summoning|0.333|1.0
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|0.333|1.0
https://images.ygoprodeck.com/images/cards/74640994.jpg|Subterror Final Battle|0.333|1.0
https://images.ygoprodeck.com/images/cards/21011044.jpg|Shaddoll Schism|0.333|1.0
https://images.ygoprodeck.com/images/cards/1966438.jpg|Abominable Unchained Soul|0.333|1.0
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|0.333|1.0
