image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|83.30%|2.70
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|83.30%|1.80
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|83.30%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|75.00%|2.44
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|75.00%|1.22
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|66.70%|2.25
https://images.ygoprodeck.com/images/cards/71948047.jpg|REINFORCE!|66.70%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|58.30%|1.86
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|58.30%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|50.00%|1.50
https://images.ygoprodeck.com/images/cards/59438931.jpg|Ghost Ogre & Snow Rabbit|50.00%|1.33
https://images.ygoprodeck.com/images/cards/63899465.jpg|Rescue-ACE HQ|25.00%|1.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|25.00%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|16.70%|2.50
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|16.70%|1.50
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|16.70%|1.00
https://images.ygoprodeck.com/images/cards/69452756.jpg|Unending Nightmare|8.30%|2.00
https://images.ygoprodeck.com/images/cards/52038442.jpg|Ghost Mourner & Moonlit Chill|8.30%|2.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|8.30%|2.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|8.30%|2.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|8.30%|2.00
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|8.30%|1.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|8.30%|1.00
