image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/13171876.jpg|Laundry Dragonmaid|100.00%|2.67
https://images.ygoprodeck.com/images/cards/48805472.jpg|Traptantalizing Tune|66.70%|3.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|66.70%|3.00
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|66.70%|3.00
https://images.ygoprodeck.com/images/cards/19403423.jpg|Time-Tearing Morganite|66.70%|3.00
https://images.ygoprodeck.com/images/cards/7805147.jpg|Soldier Dragons|66.70%|3.00
https://images.ygoprodeck.com/images/cards/19254117.jpg|Rise to Full Height|66.70%|3.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|66.70%|3.00
https://images.ygoprodeck.com/images/cards/35035481.jpg|Paleozoic Olenoides|66.70%|3.00
https://images.ygoprodeck.com/images/cards/64765016.jpg|Paleozoic Marrella|66.70%|3.00
https://images.ygoprodeck.com/images/cards/1154611.jpg|Paleozoic Leanchoilia|66.70%|3.00
https://images.ygoprodeck.com/images/cards/38761908.jpg|Paleozoic Dinomischus|66.70%|3.00
https://images.ygoprodeck.com/images/cards/98414735.jpg|Paleozoic Canadia|66.70%|3.00
https://images.ygoprodeck.com/images/cards/84968490.jpg|Needlebug Nest|66.70%|3.00
https://images.ygoprodeck.com/images/cards/60743819.jpg|Fiend Griefing|66.70%|3.00
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|66.70%|3.00
https://images.ygoprodeck.com/images/cards/60990740.jpg|Absolute King Back Jack|66.70%|3.00
https://images.ygoprodeck.com/images/cards/12607053.jpg|Waboku|66.70%|2.50
https://images.ygoprodeck.com/images/cards/20899496.jpg|Ice Dragon's Prison|66.70%|2.00
https://images.ygoprodeck.com/images/cards/57416183.jpg|Dragonmaid Tidying|66.70%|1.50
https://images.ygoprodeck.com/images/cards/58577036.jpg|Reasoning|66.70%|1.00
https://images.ygoprodeck.com/images/cards/36361633.jpg|Threatening Roar|33.30%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|33.30%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|33.30%|3.00
https://images.ygoprodeck.com/images/cards/74920585.jpg|Tearlaments Sulliek|33.30%|2.00
https://images.ygoprodeck.com/images/cards/6767771.jpg|Tearlaments Scream|33.30%|2.00
https://images.ygoprodeck.com/images/cards/79109599.jpg|King of the Swamp|33.30%|2.00
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|33.30%|2.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|33.30%|2.00
https://images.ygoprodeck.com/images/cards/88554436.jpg|Unchained Soul of Shyama|33.30%|1.00
https://images.ygoprodeck.com/images/cards/82321037.jpg|True King Bahrastos, the Fathomer|33.30%|1.00
https://images.ygoprodeck.com/images/cards/7436169.jpg|Trivikarma|33.30%|1.00
https://images.ygoprodeck.com/images/cards/26400609.jpg|Tidal, Dragon Ruler of Waterfalls|33.30%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|33.30%|1.00
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|33.30%|1.00
https://images.ygoprodeck.com/images/cards/73956664.jpg|Tearlaments Reinoheart|33.30%|1.00
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|33.30%|1.00
https://images.ygoprodeck.com/images/cards/4928565.jpg|Tearlaments Kashtira|33.30%|1.00
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|33.30%|1.00
https://images.ygoprodeck.com/images/cards/33878367.jpg|Tearlaments Grief|33.30%|1.00
https://images.ygoprodeck.com/images/cards/30328508.jpg|Shaddoll Squamata|33.30%|1.00
https://images.ygoprodeck.com/images/cards/3717252.jpg|Shaddoll Beast|33.30%|1.00
https://images.ygoprodeck.com/images/cards/73468603.jpg|Set Rotation|33.30%|1.00
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|33.30%|1.00
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|33.30%|1.00
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|33.30%|1.00
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|33.30%|1.00
https://images.ygoprodeck.com/images/cards/92079625.jpg|Helshaddoll Hollow|33.30%|1.00
https://images.ygoprodeck.com/images/cards/67441435.jpg|Glow-Up Bulb|33.30%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|33.30%|1.00
https://images.ygoprodeck.com/images/cards/81035362.jpg|Fiendish Rhino Warrior|33.30%|1.00
https://images.ygoprodeck.com/images/cards/55623480.jpg|Fairy Tail - Snow|33.30%|1.00
https://images.ygoprodeck.com/images/cards/61411502.jpg|Elemental Burst|33.30%|1.00
https://images.ygoprodeck.com/images/cards/13035077.jpg|Dragonic Diagram|33.30%|1.00
https://images.ygoprodeck.com/images/cards/70711847.jpg|Danger! Nessie!|33.30%|1.00
