image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|66.70%|2.50
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|61.10%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|50.00%|2.44
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|50.00%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|44.40%|1.75
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|38.90%|2.00
https://images.ygoprodeck.com/images/cards/83986578.jpg|King Tiger Wanghu|38.90%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|38.90%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|33.30%|2.67
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|27.80%|2.80
https://images.ygoprodeck.com/images/cards/84478195.jpg|Barrier Statue of the Abyss|27.80%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|22.20%|2.50
https://images.ygoprodeck.com/images/cards/65403020.jpg|The End of Anubis|22.20%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|16.70%|2.67
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|16.70%|2.33
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|16.70%|2.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|16.70%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|16.70%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|16.70%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|11.10%|3.00
https://images.ygoprodeck.com/images/cards/28674152.jpg|Radian, the Multidimensional Kaiju|11.10%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|11.10%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|11.10%|2.50
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|11.10%|1.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|11.10%|1.00
https://images.ygoprodeck.com/images/cards/40975574.jpg|Red Resonator|11.10%|1.00
https://images.ygoprodeck.com/images/cards/6855503.jpg|Masquerade the Blazing Dragon|11.10%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|11.10%|1.00
https://images.ygoprodeck.com/images/cards/66540884.jpg|Archfiend Heiress|11.10%|1.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|5.60%|3.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|5.60%|3.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|5.60%|3.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|5.60%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|5.60%|3.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|5.60%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|5.60%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|5.60%|1.00
https://images.ygoprodeck.com/images/cards/19254117.jpg|Rise to Full Height|5.60%|1.00
https://images.ygoprodeck.com/images/cards/97518132.jpg|Naelshaddoll Ariel|5.60%|1.00
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|5.60%|1.00
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|5.60%|1.00
https://images.ygoprodeck.com/images/cards/56647086.jpg|Invader of Darkness|5.60%|1.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|5.60%|1.00
https://images.ygoprodeck.com/images/cards/20758643.jpg|Graff, Malebranche of the Burning Abyss|5.60%|1.00
https://images.ygoprodeck.com/images/cards/74822425.jpg|El Shaddoll Shekhinaga|5.60%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|5.60%|1.00
https://images.ygoprodeck.com/images/cards/81992475.jpg|Barbar, Malebranche of the Burning Abyss|5.60%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|5.60%|1.00
