imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/58481572.jpg|Masked HERO Dark Law|1.0|1.917
https://images.ygoprodeck.com/images/cards/58004362.jpg|Xtra HERO Cross Crusader|1.0|1.583
https://images.ygoprodeck.com/images/cards/32828466.jpg|Wake Up Your Elemental HERO|1.0|1.083
https://images.ygoprodeck.com/images/cards/1948619.jpg|Xtra HERO Wonder Driver|1.0|1.083
https://images.ygoprodeck.com/images/cards/30757127.jpg|Destiny HERO - Dangerous|1.0|1.0
https://images.ygoprodeck.com/images/cards/22908820.jpg|Elemental HERO Sunrise|1.0|1.0
https://images.ygoprodeck.com/images/cards/56733747.jpg|Elemental HERO Shining Neos Wingman|1.0|1.0
https://images.ygoprodeck.com/images/cards/40854197.jpg|Elemental HERO Absolute Zero|1.0|1.0
https://images.ygoprodeck.com/images/cards/19324993.jpg|Xtra HERO Infernal Devicer|1.0|1.0
https://images.ygoprodeck.com/images/cards/60461804.jpg|Destiny HERO - Destroyer Phoenix Enforcer|1.0|1.0
https://images.ygoprodeck.com/images/cards/93347961.jpg|Elemental HERO Flame Wingman - Infernal Rage|1.0|1.0
https://images.ygoprodeck.com/images/cards/89870349.jpg|Masked HERO Blast|0.917|1.0
https://images.ygoprodeck.com/images/cards/33574806.jpg|Elemental HERO Escuridao|0.333|1.0
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|0.25|1.0
https://images.ygoprodeck.com/images/cards/29095552.jpg|Masked HERO Acid|0.167|1.0
https://images.ygoprodeck.com/images/cards/69394324.jpg|Destiny HERO - Dominance|0.083|1.0
https://images.ygoprodeck.com/images/cards/90050480.jpg|Elemental HERO Cosmo Neos|0.083|1.0
https://images.ygoprodeck.com/images/cards/8728498.jpg|Donner, Dagger Fur Hire|0.083|1.0
https://images.ygoprodeck.com/images/cards/31817415.jpg|Armed Neos|0.083|1.0
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|0.083|1.0
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|0.083|1.0
https://images.ygoprodeck.com/images/cards/46759931.jpg|Vision HERO Trinity|0.083|1.0
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|0.083|1.0
