image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|100.00%|1.00
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|62.50%|1.00
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|37.50%|1.33
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|37.50%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|37.50%|1.00
https://images.ygoprodeck.com/images/cards/55990317.jpg|Hugin the Runick Wings|25.00%|3.00
https://images.ygoprodeck.com/images/cards/82570174.jpg|Sangenpai Bident Dragion|25.00%|2.00
https://images.ygoprodeck.com/images/cards/24361622.jpg|Hieratic Seal of the Heavenly Spheres|25.00%|1.50
https://images.ygoprodeck.com/images/cards/28373620.jpg|Geri the Runick Fangs|25.00%|1.50
https://images.ygoprodeck.com/images/cards/39402797.jpg|Trident Dragion|25.00%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|25.00%|1.00
https://images.ygoprodeck.com/images/cards/73539069.jpg|Striker Dragon|25.00%|1.00
https://images.ygoprodeck.com/images/cards/18969888.jpg|Sangenpai Transcendent Dragion|25.00%|1.00
https://images.ygoprodeck.com/images/cards/40509732.jpg|Samurai Destroyer|25.00%|1.00
https://images.ygoprodeck.com/images/cards/40139997.jpg|Ruddy Rose Dragon|25.00%|1.00
https://images.ygoprodeck.com/images/cards/80696379.jpg|Odd-Eyes Meteorburst Dragon|25.00%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|25.00%|1.00
https://images.ygoprodeck.com/images/cards/87837090.jpg|Kuibelt the Blade Dragon|25.00%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|25.00%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|25.00%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|25.00%|1.00
https://images.ygoprodeck.com/images/cards/90673288.jpg|Sky Striker Ace - Shizuku|12.50%|3.00
https://images.ygoprodeck.com/images/cards/63288573.jpg|Sky Striker Ace - Kagari|12.50%|3.00
https://images.ygoprodeck.com/images/cards/67680512.jpg|Unchained Soul of Rage|12.50%|2.00
https://images.ygoprodeck.com/images/cards/24269961.jpg|Unchained Soul Lord of Yama|12.50%|2.00
https://images.ygoprodeck.com/images/cards/8491308.jpg|Sky Striker Ace - Hayate|12.50%|2.00
https://images.ygoprodeck.com/images/cards/92385016.jpg|Munin the Runick Wings|12.50%|2.00
https://images.ygoprodeck.com/images/cards/97051536.jpg|Infernoid Evil|12.50%|2.00
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|12.50%|2.00
https://images.ygoprodeck.com/images/cards/92744676.jpg|Zapper Shrimp|12.50%|1.00
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|12.50%|1.00
https://images.ygoprodeck.com/images/cards/93084621.jpg|Unchained Soul of Anguish|12.50%|1.00
https://images.ygoprodeck.com/images/cards/29479265.jpg|Unchained Abomination|12.50%|1.00
https://images.ygoprodeck.com/images/cards/52445243.jpg|Tri-Edge Master|12.50%|1.00
https://images.ygoprodeck.com/images/cards/10019086.jpg|Tri-Brigade Arms Bucephalus II|12.50%|1.00
https://images.ygoprodeck.com/images/cards/66403530.jpg|Topologic Zeroboros|12.50%|1.00
https://images.ygoprodeck.com/images/cards/72529749.jpg|Topologic Trisbaena|12.50%|1.00
https://images.ygoprodeck.com/images/cards/96633955.jpg|Swordsoul Supreme Sovereign - Chengying|12.50%|1.00
https://images.ygoprodeck.com/images/cards/75147529.jpg|Sky Striker Ace - Zeke|12.50%|1.00
https://images.ygoprodeck.com/images/cards/12421694.jpg|Sky Striker Ace - Kaina|12.50%|1.00
https://images.ygoprodeck.com/images/cards/41924516.jpg|Silvera, Wolf Tamer of the White Forest|12.50%|1.00
https://images.ygoprodeck.com/images/cards/87871125.jpg|Salamangreat Sunlight Wolf|12.50%|1.00
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|12.50%|1.00
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|12.50%|1.00
https://images.ygoprodeck.com/images/cards/77313225.jpg|Rciela, Sinister Soul of the White Forest|12.50%|1.00
https://images.ygoprodeck.com/images/cards/90590304.jpg|Number 41: Bagooska the Terribly Tired Tapir|12.50%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|12.50%|1.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|12.50%|1.00
https://images.ygoprodeck.com/images/cards/82734805.jpg|Infernoid Tierra|12.50%|1.00
https://images.ygoprodeck.com/images/cards/34446231.jpg|Infernoid Flood|12.50%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|12.50%|1.00
https://images.ygoprodeck.com/images/cards/23656668.jpg|Gravity Controller|12.50%|1.00
https://images.ygoprodeck.com/images/cards/93125329.jpg|Golden Cloud Beast - Malong|12.50%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|12.50%|1.00
https://images.ygoprodeck.com/images/cards/25577965.jpg|Flametongue the Blazing Magical Blade|12.50%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|12.50%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|12.50%|1.00
https://images.ygoprodeck.com/images/cards/33158448.jpg|F.A. Dawn Dragster|12.50%|1.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|12.50%|1.00
https://images.ygoprodeck.com/images/cards/37880706.jpg|Duelittle Chimera|12.50%|1.00
https://images.ygoprodeck.com/images/cards/14307929.jpg|Diabell, Queen of the White Forest|12.50%|1.00
https://images.ygoprodeck.com/images/cards/42566602.jpg|Coral Dragon|12.50%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|12.50%|1.00
https://images.ygoprodeck.com/images/cards/73580471.jpg|Black Rose Dragon|12.50%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|12.50%|1.00
https://images.ygoprodeck.com/images/cards/20665527.jpg|Amphibious Swarmship Amblowhale|12.50%|1.00
https://images.ygoprodeck.com/images/cards/28143384.jpg|Aerial Eater|12.50%|1.00
https://images.ygoprodeck.com/images/cards/93860227.jpg||12.50%|1.00
