image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|59.10%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|54.50%|2.83
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|54.50%|2.08
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|45.50%|1.00
https://images.ygoprodeck.com/images/cards/43215738.jpg|Mementotlan Fracture Dance|40.90%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|31.80%|2.86
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|31.80%|2.86
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|31.80%|2.43
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|27.30%|1.83
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|27.30%|1.17
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|27.30%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|22.70%|2.80
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|22.70%|2.80
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|22.70%|1.80
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|22.70%|1.40
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|22.70%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|18.20%|2.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|18.20%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|18.20%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|13.60%|2.67
https://images.ygoprodeck.com/images/cards/101206024.jpg||13.60%|2.67
https://images.ygoprodeck.com/images/cards/42141493.jpg||13.60%|2.67
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|13.60%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|13.60%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|13.60%|1.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|9.10%|2.50
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|9.10%|2.50
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|9.10%|2.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|9.10%|2.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|9.10%|2.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|9.10%|1.50
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|9.10%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|9.10%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|9.10%|1.00
https://images.ygoprodeck.com/images/cards/79600447.jpg|Mementotlan Cranium Burst|9.10%|1.00
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|4.50%|3.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|4.50%|3.00
https://images.ygoprodeck.com/images/cards/1372887.jpg|Shared Ride|4.50%|2.00
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|4.50%|2.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|4.50%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|4.50%|2.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|4.50%|2.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|4.50%|2.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|4.50%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|4.50%|1.00
https://images.ygoprodeck.com/images/cards/35103106.jpg|Evolzar Lars|4.50%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|4.50%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|4.50%|1.00
https://images.ygoprodeck.com/images/cards/85888377.jpg|Apophis the Swamp Deity|4.50%|1.00
