name|code|imgSource|deckPerc|avgCount
Evenly Matched|15693423|https://images.ygoprodeck.com/images/cards_small/15693423.jpg|0.571|2.5
There Can Be Only One|24207889|https://images.ygoprodeck.com/images/cards_small/24207889.jpg|0.429|2.333
Lava Golem|102380|https://images.ygoprodeck.com/images/cards_small/102380.jpg|0.429|2.0
Raigeki|12580477|https://images.ygoprodeck.com/images/cards_small/12580477.jpg|0.429|2.0
Harpie's Feather Duster|18144507|https://images.ygoprodeck.com/images/cards_small/18144507.jpg|0.429|1.0
Cosmic Cyclone|8267140|https://images.ygoprodeck.com/images/cards_small/8267140.jpg|0.286|3.0
Nibiru, the Primal Being|27204311|https://images.ygoprodeck.com/images/cards_small/27204311.jpg|0.286|3.0
Dark Bribe|77538567|https://images.ygoprodeck.com/images/cards_small/77538567.jpg|0.286|2.5
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|0.286|2.0
Lightning Storm|14532163|https://images.ygoprodeck.com/images/cards_small/14532163.jpg|0.286|2.0
Gameciel, the Sea Turtle Kaiju|55063751|https://images.ygoprodeck.com/images/cards_small/55063751.jpg|0.286|1.5
Solemn Judgment|41420027|https://images.ygoprodeck.com/images/cards_small/41420027.jpg|0.143|3.0
Stygian Dirge|81489939|https://images.ygoprodeck.com/images/cards_small/81489939.jpg|0.143|3.0
Prohibition|43711255|https://images.ygoprodeck.com/images/cards_small/43711255.jpg|0.143|3.0
PSY-Framegear Gamma|38814750|https://images.ygoprodeck.com/images/cards_small/38814750.jpg|0.143|3.0
Artifact Lancea|34267821|https://images.ygoprodeck.com/images/cards_small/34267821.jpg|0.143|3.0
Gozen Match|53334471|https://images.ygoprodeck.com/images/cards_small/53334471.jpg|0.143|3.0
Dimension Shifter|91800273|https://images.ygoprodeck.com/images/cards_small/91800273.jpg|0.143|3.0
Imperial Iron Wall|30459350|https://images.ygoprodeck.com/images/cards_small/30459350.jpg|0.143|3.0
Token Collector|43534808|https://images.ygoprodeck.com/images/cards_small/43534808.jpg|0.143|3.0
Cursed Seal of the Forbidden Spell|58851034|https://images.ygoprodeck.com/images/cards_small/58851034.jpg|0.143|3.0
Inspector Boarder|15397015|https://images.ygoprodeck.com/images/cards_small/15397015.jpg|0.143|2.0
Secret Barrel|27053506|https://images.ygoprodeck.com/images/cards_small/27053506.jpg|0.143|2.0
Silent Wobby|71015787|https://images.ygoprodeck.com/images/cards_small/71015787.jpg|0.143|2.0
Secret Blast|18252559|https://images.ygoprodeck.com/images/cards_small/18252559.jpg|0.143|1.0
Numbers Protection|68630939|https://images.ygoprodeck.com/images/cards_small/68630939.jpg|0.143|1.0
Twin Twisters|43898403|https://images.ygoprodeck.com/images/cards_small/43898403.jpg|0.143|1.0
PSY-Frame Driver|49036338|https://images.ygoprodeck.com/images/cards_small/49036338.jpg|0.143|1.0
Dinowrestler Pankratops|82385847|https://images.ygoprodeck.com/images/cards_small/82385847.jpg|0.143|1.0
Power of the Guardians|1118137|https://images.ygoprodeck.com/images/cards_small/1118137.jpg|0.143|1.0
Pot of Desires|35261759|https://images.ygoprodeck.com/images/cards_small/35261759.jpg|0.143|1.0
Unending Nightmare|69452756|https://images.ygoprodeck.com/images/cards_small/69452756.jpg|0.143|1.0
Pop-Up|15248873|https://images.ygoprodeck.com/images/cards_small/15248873.jpg|0.143|1.0
