image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|59.30%|2.53
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|48.00%|2.56
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|47.20%|2.22
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|47.20%|1.03
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|36.60%|2.60
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|36.60%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|35.80%|1.57
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|32.50%|2.23
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|31.70%|1.28
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|28.50%|2.06
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|28.50%|1.89
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|26.80%|2.54
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|22.00%|1.59
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|21.10%|2.27
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|20.30%|1.80
https://images.ygoprodeck.com/images/cards/66425726.jpg|Odd-Eyes Pendulumgraph Dragon|20.30%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|18.70%|2.48
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|17.90%|2.59
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|16.30%|1.60
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|16.30%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|14.60%|2.67
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|11.40%|1.00
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|8.90%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|6.50%|1.12
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|5.70%|2.57
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|5.70%|1.29
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|4.90%|2.50
