imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|1.0|3.0
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|1.0|3.0
https://images.ygoprodeck.com/images/cards/9396662.jpg|Mirror Mage of the Ice Barrier|1.0|2.75
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|1.0|2.0
https://images.ygoprodeck.com/images/cards/44308317.jpg|Speaker for the Ice Barriers|1.0|1.75
https://images.ygoprodeck.com/images/cards/70703416.jpg|Hexa Spirit of the Ice Barrier|1.0|1.5
https://images.ygoprodeck.com/images/cards/81275309.jpg|General Raiho of the Ice Barrier|1.0|1.0
https://images.ygoprodeck.com/images/cards/18319762.jpg|Revealer of the Ice Barrier|0.875|3.0
https://images.ygoprodeck.com/images/cards/84206435.jpg|Medallion of the Ice Barrier|0.875|3.0
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|0.875|2.571
https://images.ygoprodeck.com/images/cards/32991027.jpg|Georgius, Swordman of the Ice Barrier|0.875|2.429
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|0.875|1.0
https://images.ygoprodeck.com/images/cards/18494511.jpg|Icejade Ran Aegirine|0.75|2.5
https://images.ygoprodeck.com/images/cards/43582229.jpg|Freezing Chains of the Ice Barrier|0.75|1.0
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.625|1.8
https://images.ygoprodeck.com/images/cards/73061465.jpg|Spellbreaker of the Ice Barrier|0.625|1.0
https://images.ygoprodeck.com/images/cards/81825063.jpg|General Wayne of the Ice Barrier|0.5|1.0
https://images.ygoprodeck.com/images/cards/17197110.jpg|Winds Over the Ice Barrier|0.5|1.0
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.5|1.0
https://images.ygoprodeck.com/images/cards/34293667.jpg|Ice Barrier|0.375|1.667
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|0.375|1.0
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.25|3.0
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|0.25|1.0
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|0.25|1.0
https://images.ygoprodeck.com/images/cards/21565445.jpg|Neptabyss, the Atlantean Prince|0.125|3.0
https://images.ygoprodeck.com/images/cards/67835547.jpg|Runick Slumber|0.125|3.0
https://images.ygoprodeck.com/images/cards/74311226.jpg|Atlantean Dragoons|0.125|3.0
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|0.125|3.0
https://images.ygoprodeck.com/images/cards/101206079.jpg||0.125|3.0
https://images.ygoprodeck.com/images/cards/31562086.jpg|Runick Tip|0.125|3.0
https://images.ygoprodeck.com/images/cards/68957034.jpg|Runick Flashing Fire|0.125|3.0
https://images.ygoprodeck.com/images/cards/30430448.jpg|Runick Freezing Curses|0.125|3.0
https://images.ygoprodeck.com/images/cards/28958464.jpg|"Spell Card ""Monster Reborn"""|0.125|2.0
https://images.ygoprodeck.com/images/cards/17080584.jpg||0.125|2.0
https://images.ygoprodeck.com/images/cards/53085623.jpg||0.125|2.0
https://images.ygoprodeck.com/images/cards/9126351.jpg|Swap Frog|0.125|2.0
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|0.125|2.0
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|0.125|2.0
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|0.125|1.0
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|0.125|1.0
https://images.ygoprodeck.com/images/cards/22446869.jpg|Mermail Abyssteus|0.125|1.0
https://images.ygoprodeck.com/images/cards/78868119.jpg|Deep Sea Diva|0.125|1.0
https://images.ygoprodeck.com/images/cards/94445733.jpg|Runick Destruction|0.125|1.0
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|0.125|1.0
https://images.ygoprodeck.com/images/cards/15746348.jpg|Eria the Water Channeler|0.125|1.0
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|0.125|1.0
https://images.ygoprodeck.com/images/cards/6540606.jpg|Spiritual Water Art - Aoi|0.125|1.0
https://images.ygoprodeck.com/images/cards/72932673.jpg|Abyss-scale of the Mizuchi|0.125|1.0
https://images.ygoprodeck.com/images/cards/71978434.jpg|Deep Sea Minstrel|0.125|1.0
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|0.125|1.0
https://images.ygoprodeck.com/images/cards/55343303.jpg|Icejade Cradle|0.125|1.0
https://images.ygoprodeck.com/images/cards/92107604.jpg|Runick Fountain|0.125|1.0
https://images.ygoprodeck.com/images/cards/10963799.jpg|Barrier Statue of the Torrent|0.125|1.0
https://images.ygoprodeck.com/images/cards/58471134.jpg|Mermail Abysspike|0.125|1.0
https://images.ygoprodeck.com/images/cards/37104630.jpg|Atlantean Heavy Infantry|0.125|1.0
