image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.90
https://images.ygoprodeck.com/images/cards/32807846.jpg|Reinforcement of the Army|100.00%|2.30
https://images.ygoprodeck.com/images/cards/53404966.jpg|Infernoble Knight Ricciardetto|100.00%|1.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|90.00%|2.56
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|90.00%|1.44
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|90.00%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|80.00%|2.62
https://images.ygoprodeck.com/images/cards/56824871.jpg|Infernoble Knight - Renaud|70.00%|1.43
https://images.ygoprodeck.com/images/cards/65734501.jpg|Rescue-ACE Air Lifter|60.00%|3.00
https://images.ygoprodeck.com/images/cards/61292243.jpg|EMERGENCY!|60.00%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|60.00%|2.50
https://images.ygoprodeck.com/images/cards/38339996.jpg|Rescue-ACE Impulse|60.00%|2.17
https://images.ygoprodeck.com/images/cards/37495766.jpg|Rescue-ACE Turbulence|60.00%|2.00
https://images.ygoprodeck.com/images/cards/41443249.jpg|Rescue-ACE Preventer|60.00%|2.00
https://images.ygoprodeck.com/images/cards/37617348.jpg|Rescue-ACE Hydrant|60.00%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|60.00%|1.50
https://images.ygoprodeck.com/images/cards/63899465.jpg|Rescue-ACE HQ|60.00%|1.00
https://images.ygoprodeck.com/images/cards/99984170.jpg|RESCUE!|60.00%|1.00
https://images.ygoprodeck.com/images/cards/99162522.jpg|EXTINGUISH!|60.00%|1.00
https://images.ygoprodeck.com/images/cards/62777823.jpg|CONTAIN!|60.00%|1.00
https://images.ygoprodeck.com/images/cards/26372118.jpg|ALERT!|60.00%|1.00
https://images.ygoprodeck.com/images/cards/64612053.jpg|Rescue-ACE Fire Attacker|50.00%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|40.00%|2.50
https://images.ygoprodeck.com/images/cards/58346901.jpg|Infernoble Knight Oliver|40.00%|1.75
https://images.ygoprodeck.com/images/cards/37478723.jpg|"""Infernoble Arms - Durendal"""|40.00%|1.75
https://images.ygoprodeck.com/images/cards/21351206.jpg|Infernoble Knight Ogier|40.00%|1.50
https://images.ygoprodeck.com/images/cards/89809665.jpg|Infernoble Knight Turpin|40.00%|1.25
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|40.00%|1.25
https://images.ygoprodeck.com/images/cards/90000652.jpg|Rescue-ACE Fire Engine|40.00%|1.00
https://images.ygoprodeck.com/images/cards/51412776.jpg|Heritage of the Chalice|30.00%|2.67
https://images.ygoprodeck.com/images/cards/25807544.jpg|Noble Arms Museum|30.00%|2.33
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|30.00%|2.00
https://images.ygoprodeck.com/images/cards/90861137.jpg|"""Infernoble Arms - Joyeuse"""|30.00%|1.00
https://images.ygoprodeck.com/images/cards/98319530.jpg|"""Infernoble Arms - Almace"""|30.00%|1.00
https://images.ygoprodeck.com/images/cards/33872334.jpg|Phoenix Gearblade|20.00%|1.00
https://images.ygoprodeck.com/images/cards/94730900.jpg|Infernoble Knight Maugis|20.00%|1.00
https://images.ygoprodeck.com/images/cards/91479482.jpg|Courageous Crimson Chevalier Bradamante|20.00%|1.00
https://images.ygoprodeck.com/images/cards/81260679.jpg|Ohime the Manifested Mikanko|10.00%|3.00
https://images.ygoprodeck.com/images/cards/85840608.jpg|Neo Space Connector|10.00%|3.00
https://images.ygoprodeck.com/images/cards/43527730.jpg|Mikanko Water Arabesque|10.00%|3.00
