image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|100.00%|1.91
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|91.30%|1.71
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|91.30%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|87.00%|3.00
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|87.00%|1.30
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|69.60%|2.25
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|65.20%|2.93
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|65.20%|1.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|60.90%|2.64
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|56.50%|1.39
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|56.50%|1.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|52.20%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|52.20%|3.00
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|52.20%|2.92
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|52.20%|2.92
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|52.20%|1.08
https://images.ygoprodeck.com/images/cards/90241276.jpg|Snake-Eyes Poplar|52.20%|1.00
https://images.ygoprodeck.com/images/cards/44822037.jpg|Angel Statue - Azurune|52.20%|1.00
https://images.ygoprodeck.com/images/cards/45663742.jpg|Snake-Eye Oak|47.80%|2.00
https://images.ygoprodeck.com/images/cards/48452496.jpg|Snake-Eyes Flamberge Dragon|47.80%|1.00
https://images.ygoprodeck.com/images/cards/9674034.jpg|Snake-Eye Ash|47.80%|1.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|47.80%|1.00
https://images.ygoprodeck.com/images/cards/27260347.jpg|Snake-Eyes Diabellstar|39.10%|1.00
https://images.ygoprodeck.com/images/cards/53639887.jpg|Divine Temple of the Snake-Eye|39.10%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|30.40%|1.29
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|30.40%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|30.40%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|26.10%|1.00
https://images.ygoprodeck.com/images/cards/62318994.jpg|Samsara D Lotus|21.70%|3.00
https://images.ygoprodeck.com/images/cards/93729896.jpg|Nightmare Throne|21.70%|3.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|21.70%|3.00
https://images.ygoprodeck.com/images/cards/81034083.jpg|Dark Beckoning Beast|21.70%|2.80
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|21.70%|2.80
