image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|69.10%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|61.80%|2.47
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|53.30%|2.84
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|52.60%|1.73
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|50.00%|2.46
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|40.80%|2.42
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|38.20%|2.31
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|34.20%|2.50
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|30.90%|2.25
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|28.90%|2.46
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|13.80%|1.86
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|11.80%|2.11
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|11.20%|2.23
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|11.20%|2.12
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|9.20%|2.21
https://images.ygoprodeck.com/images/cards/14087893.jpg|Book of Moon|9.20%|2.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|9.20%|1.86
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|8.60%|2.54
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|7.20%|2.64
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|7.20%|2.18
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|6.60%|1.90
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|6.60%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|5.90%|1.33
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|5.90%|1.00
https://images.ygoprodeck.com/images/cards/47084486.jpg|Vanity's Fiend|5.30%|2.50
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|5.30%|2.38
https://images.ygoprodeck.com/images/cards/30241314.jpg|Macro Cosmos|5.30%|2.12
https://images.ygoprodeck.com/images/cards/98045062.jpg|Enemy Controller|5.30%|1.62
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|5.30%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|4.60%|2.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|4.60%|1.43
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|3.90%|1.83
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|3.90%|1.33
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|3.90%|1.17
