imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/92714517.jpg|Big Welcome Labrynth|1.0|2.767
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|0.993|2.987
https://images.ygoprodeck.com/images/cards/74018812.jpg|Labrynth Stovie Torbie|0.993|2.946
https://images.ygoprodeck.com/images/cards/37629703.jpg|Labrynth Chandraglier|0.993|2.94
https://images.ygoprodeck.com/images/cards/1225009.jpg|Arianna the Labrynth Servant|0.993|2.926
https://images.ygoprodeck.com/images/cards/2347656.jpg|Lovely Labrynth of the Silver Castle|0.993|1.02
https://images.ygoprodeck.com/images/cards/2511.jpg|Labrynth Cooclock|0.987|2.284
https://images.ygoprodeck.com/images/cards/81497285.jpg|Lady Labrynth of the Silver Castle|0.987|1.892
https://images.ygoprodeck.com/images/cards/5380979.jpg|Welcome Labrynth|0.98|1.912
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|0.92|2.42
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|0.873|2.603
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|0.827|2.871
https://images.ygoprodeck.com/images/cards/49238328.jpg|Pot of Extravagance|0.82|2.764
https://images.ygoprodeck.com/images/cards/75730490.jpg|Ariane the Labrynth Servant|0.773|1.052
https://images.ygoprodeck.com/images/cards/73602965.jpg|Arias the Labrynth Butler|0.607|2.22
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|0.487|1.562
https://images.ygoprodeck.com/images/cards/33407125.jpg|Labrynth Labyrinth|0.46|1.0
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.38|1.561
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|0.38|1.053
https://images.ygoprodeck.com/images/cards/41165831.jpg|Unchained Soul of Sharvara|0.327|1.02
https://images.ygoprodeck.com/images/cards/53417695.jpg|Escape of the Unchained|0.32|1.042
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|0.287|1.977
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|0.273|1.0
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|0.253|1.0
https://images.ygoprodeck.com/images/cards/20899496.jpg|Ice Dragon's Prison|0.233|1.2
https://images.ygoprodeck.com/images/cards/82956214.jpg|Dogmatika Punishment|0.207|1.387
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|0.173|1.692
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|0.173|1.0
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|0.16|1.0
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.14|2.143
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.113|1.765
https://images.ygoprodeck.com/images/cards/63086455.jpg|Terrors of the Overroot|0.087|1.231
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.08|2.0
https://images.ygoprodeck.com/images/cards/60990740.jpg|Absolute King Back Jack|0.08|1.917
https://images.ygoprodeck.com/images/cards/5168381.jpg|Archfiend's Ghastly Glitch|0.08|1.417
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|0.06|1.333
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|0.04|3.0
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|0.04|1.833
https://images.ygoprodeck.com/images/cards/69895264.jpg|Labrynth Set-Up|0.04|1.0
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|0.04|1.0
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|0.033|2.0
https://images.ygoprodeck.com/images/cards/53582587.jpg|Torrential Tribute|0.033|1.8
https://images.ygoprodeck.com/images/cards/98173209.jpg|Crimson Gaia|0.033|1.8
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|0.033|1.6
https://images.ygoprodeck.com/images/cards/98396890.jpg|Vision Resonator|0.033|1.6
https://images.ygoprodeck.com/images/cards/62991792.jpg|Soul Resonator|0.033|1.4
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|0.033|1.2
https://images.ygoprodeck.com/images/cards/84478195.jpg|Barrier Statue of the Abyss|0.033|1.2
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|0.033|1.2
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|0.033|1.0
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|0.027|3.0
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|0.027|1.25
https://images.ygoprodeck.com/images/cards/36553319.jpg|Farfa, Malebranche of the Burning Abyss|0.027|1.0
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|0.027|1.0
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|0.02|3.0
https://images.ygoprodeck.com/images/cards/93729896.jpg|Nightmare Throne|0.02|3.0
https://images.ygoprodeck.com/images/cards/67234805.jpg|Powersink Stone|0.02|3.0
https://images.ygoprodeck.com/images/cards/1984618.jpg|Nadir Servant|0.02|2.667
https://images.ygoprodeck.com/images/cards/42141493.jpg||0.02|2.667
https://images.ygoprodeck.com/images/cards/12467005.jpg|Tackle Crusader|0.02|2.667
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|0.02|2.0
https://images.ygoprodeck.com/images/cards/94192409.jpg|Compulsory Evacuation Device|0.02|1.667
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|0.02|1.333
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|0.02|1.0
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|0.02|1.0
https://images.ygoprodeck.com/images/cards/78371393.jpg|Yubel|0.02|1.0
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|0.02|1.0
https://images.ygoprodeck.com/images/cards/60303688.jpg|Dogmatika Ecclesia, the Virtuous|0.02|1.0
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|0.02|1.0
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|0.02|1.0
https://images.ygoprodeck.com/images/cards/90829280.jpg|Spirit of Yubel|0.02|1.0
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|0.013|2.5
https://images.ygoprodeck.com/images/cards/85698115.jpg|Terrors of the Afterroot|0.013|2.0
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|0.013|1.5
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|0.013|1.5
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|0.013|1.0
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|0.013|1.0
https://images.ygoprodeck.com/images/cards/24662957.jpg|Fiendish Golem|0.013|1.0
https://images.ygoprodeck.com/images/cards/67750322.jpg|Skull Meister|0.013|1.0
https://images.ygoprodeck.com/images/cards/25096909.jpg|Simultaneous Equation Cannons|0.007|3.0
https://images.ygoprodeck.com/images/cards/25784595.jpg|Bone Archfiend|0.007|3.0
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|0.007|2.0
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|0.007|2.0
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|0.007|2.0
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|0.007|2.0
https://images.ygoprodeck.com/images/cards/89208725.jpg|Metaverse|0.007|2.0
https://images.ygoprodeck.com/images/cards/19299793.jpg|Red Lotus King, Flame Crime|0.007|2.0
https://images.ygoprodeck.com/images/cards/9822220.jpg|Lord of the Heavenly Prison|0.007|1.0
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|0.007|1.0
https://images.ygoprodeck.com/images/cards/47355498.jpg|Necrovalley|0.007|1.0
https://images.ygoprodeck.com/images/cards/34761841.jpg|Crimson Resonator|0.007|1.0
https://images.ygoprodeck.com/images/cards/60743819.jpg|Fiend Griefing|0.007|1.0
https://images.ygoprodeck.com/images/cards/15397015.jpg|Inspector Boarder|0.007|1.0
https://images.ygoprodeck.com/images/cards/5376159.jpg|Red Reign|0.007|1.0
https://images.ygoprodeck.com/images/cards/95679145.jpg|Dogmatika Maximus|0.007|1.0
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|0.007|1.0
https://images.ygoprodeck.com/images/cards/35552985.jpg|Fiendsmith's Sanct|0.007|1.0
https://images.ygoprodeck.com/images/cards/31548215.jpg|Gravedigger's Trap Hole|0.007|1.0
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|0.007|1.0
https://images.ygoprodeck.com/images/cards/59438931.jpg|Ghost Ogre & Snow Rabbit|0.007|1.0
https://images.ygoprodeck.com/images/cards/29762407.jpg|Temple of the Kings|0.007|1.0
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|0.007|1.0
https://images.ygoprodeck.com/images/cards/38761908.jpg|Paleozoic Dinomischus|0.007|1.0
