imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/94886282.jpg|Charge of the Light Brigade|1.0|3.0
https://images.ygoprodeck.com/images/cards/28297833.jpg|Necroface|1.0|3.0
https://images.ygoprodeck.com/images/cards/59481082.jpg|Lightsworn Dragonling|1.0|3.0
https://images.ygoprodeck.com/images/cards/96576187.jpg|Weiss, Lightsworn Archfiend|1.0|2.333
https://images.ygoprodeck.com/images/cards/58996430.jpg|Wulf, Lightsworn Beast|1.0|2.333
https://images.ygoprodeck.com/images/cards/55623480.jpg|Fairy Tail - Snow|1.0|2.0
https://images.ygoprodeck.com/images/cards/73176465.jpg|Felis, Lightsworn Archer|1.0|1.667
https://images.ygoprodeck.com/images/cards/56166150.jpg|Lumina, Twilightsworn Shaman|1.0|1.333
https://images.ygoprodeck.com/images/cards/64379430.jpg|Doomsday Horror|1.0|1.0
https://images.ygoprodeck.com/images/cards/83334932.jpg|Superheavy Samurai Motorbike|0.667|3.0
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|0.667|3.0
https://images.ygoprodeck.com/images/cards/34496660.jpg|Superheavy Samurai Wagon|0.667|2.5
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.667|2.0
https://images.ygoprodeck.com/images/cards/95503687.jpg|Lumina, Lightsworn Summoner|0.667|1.5
https://images.ygoprodeck.com/images/cards/77558536.jpg|Raiden, Hand of the Lightsworn|0.667|1.0
https://images.ygoprodeck.com/images/cards/19959563.jpg|Punishment Dragon|0.667|1.0
https://images.ygoprodeck.com/images/cards/67441435.jpg|Glow-Up Bulb|0.667|1.0
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|0.667|1.0
https://images.ygoprodeck.com/images/cards/90361010.jpg|Superheavy Samurai Soulpiercer|0.667|1.0
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|0.667|1.0
https://images.ygoprodeck.com/images/cards/78391364.jpg|Superheavy Samurai Scales|0.667|1.0
https://images.ygoprodeck.com/images/cards/59019082.jpg|Garoth, Lightsworn Warrior|0.667|1.0
https://images.ygoprodeck.com/images/cards/19510093.jpg|Superheavy Samurai Monk Big Benkei|0.667|1.0
https://images.ygoprodeck.com/images/cards/5560911.jpg|Destrudo the Lost Dragon's Frisson|0.667|1.0
https://images.ygoprodeck.com/images/cards/95500396.jpg|Superheavy Samurai Soulpeacemaker|0.667|1.0
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|0.667|1.0
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|0.667|1.0
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|0.333|3.0
https://images.ygoprodeck.com/images/cards/71650854.jpg|Magical Mid-Breaker Field|0.333|3.0
