name|code|imgSource|deckPerc|avgCount
Tri-Brigade Fraktall|87209160|https://images.ygoprodeck.com/images/cards_small/87209160.jpg|1.0|3.0
Lyrilusc - Turquoise Warbler|97949165|https://images.ygoprodeck.com/images/cards_small/97949165.jpg|1.0|3.0
Tri-Brigade Nervall|14816857|https://images.ygoprodeck.com/images/cards_small/14816857.jpg|1.0|2.933
Lyrilusc - Cobalt Sparrow|34550857|https://images.ygoprodeck.com/images/cards_small/34550857.jpg|1.0|2.133
Fire Formation - Tenki|57103969|https://images.ygoprodeck.com/images/cards_small/57103969.jpg|0.933|1.643
Tri-Brigade Kitt|56196385|https://images.ygoprodeck.com/images/cards_small/56196385.jpg|0.933|1.571
Tri-Brigade Kerass|50810455|https://images.ygoprodeck.com/images/cards_small/50810455.jpg|0.933|1.214
Lyrilusc - Bird Call|45354718|https://images.ygoprodeck.com/images/cards_small/45354718.jpg|0.867|3.0
Lyrilusc - Sapphire Swallow|60954556|https://images.ygoprodeck.com/images/cards_small/60954556.jpg|0.867|1.692
Called by the Grave|24224830|https://images.ygoprodeck.com/images/cards_small/24224830.jpg|0.8|1.0
One for One|2295440|https://images.ygoprodeck.com/images/cards_small/2295440.jpg|0.733|1.0
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|0.667|2.7
D.D. Crow|24508238|https://images.ygoprodeck.com/images/cards_small/24508238.jpg|0.667|1.3
Lyrilusc - Beryl Canary|10182251|https://images.ygoprodeck.com/images/cards_small/10182251.jpg|0.6|2.667
Lyrilusc - Celestine Wagtail|46576366|https://images.ygoprodeck.com/images/cards_small/46576366.jpg|0.6|1.889
Ash Blossom & Joyous Spring|14558127|https://images.ygoprodeck.com/images/cards_small/14558127.jpg|0.533|3.0
PSY-Framegear Gamma|38814750|https://images.ygoprodeck.com/images/cards_small/38814750.jpg|0.467|3.0
Forbidden Droplet|24299458|https://images.ygoprodeck.com/images/cards_small/24299458.jpg|0.467|3.0
Mist Valley Apex Avian|29587993|https://images.ygoprodeck.com/images/cards_small/29587993.jpg|0.467|1.0
PSY-Frame Driver|49036338|https://images.ygoprodeck.com/images/cards_small/49036338.jpg|0.467|1.0
Tri-Brigade Revolt|40975243|https://images.ygoprodeck.com/images/cards_small/40975243.jpg|0.4|1.5
Foolish Burial|81439173|https://images.ygoprodeck.com/images/cards_small/81439173.jpg|0.4|1.0
Pot of Prosperity|84211599|https://images.ygoprodeck.com/images/cards_small/84211599.jpg|0.333|2.6
Triple Tactics Talent|25311006|https://images.ygoprodeck.com/images/cards_small/25311006.jpg|0.333|2.4
Tri-Brigade Oath|86379342|https://images.ygoprodeck.com/images/cards_small/86379342.jpg|0.333|1.0
Pot of Desires|35261759|https://images.ygoprodeck.com/images/cards_small/35261759.jpg|0.267|2.75
Nibiru, the Primal Being|27204311|https://images.ygoprodeck.com/images/cards_small/27204311.jpg|0.267|2.5
Droll & Lock Bird|94145021|https://images.ygoprodeck.com/images/cards_small/94145021.jpg|0.267|2.5
Small World|89558743|https://images.ygoprodeck.com/images/cards_small/89558743.jpg|0.2|3.0
Dark Ruler No More|54693926|https://images.ygoprodeck.com/images/cards_small/54693926.jpg|0.2|2.667
Cosmic Cyclone|8267140|https://images.ygoprodeck.com/images/cards_small/8267140.jpg|0.2|1.333
Dynatherium|7409792|https://images.ygoprodeck.com/images/cards_small/7409792.jpg|0.2|1.0
Barrier Statue of the Stormwinds|73356503|https://images.ygoprodeck.com/images/cards_small/73356503.jpg|0.2|1.0
Rescue Cat|14878871|https://images.ygoprodeck.com/images/cards_small/14878871.jpg|0.133|2.5
Effect Veiler|97268402|https://images.ygoprodeck.com/images/cards_small/97268402.jpg|0.133|2.0
Tri-Brigade Rendezvous|96378317|https://images.ygoprodeck.com/images/cards_small/96378317.jpg|0.133|1.0
Monster Reborn|83764718|https://images.ygoprodeck.com/images/cards_small/83764718.jpg|0.133|1.0
Twin Twisters|43898403|https://images.ygoprodeck.com/images/cards_small/43898403.jpg|0.067|3.0
Wing Requital|8843569|https://images.ygoprodeck.com/images/cards_small/8843569.jpg|0.067|3.0
Ghost Belle & Haunted Mansion|73642296|https://images.ygoprodeck.com/images/cards_small/73642296.jpg|0.067|3.0
Crossout Designator|65681983|https://images.ygoprodeck.com/images/cards_small/65681983.jpg|0.067|3.0
Alpha, the Master of Beasts|73304257|https://images.ygoprodeck.com/images/cards_small/73304257.jpg|0.067|3.0
Zoodiac Ratpier|78872731|https://images.ygoprodeck.com/images/cards_small/78872731.jpg|0.067|1.0
Zoodiac Whiptail|31755044|https://images.ygoprodeck.com/images/cards_small/31755044.jpg|0.067|1.0
Zoodiac Ramram|4145852|https://images.ygoprodeck.com/images/cards_small/4145852.jpg|0.067|1.0
Harpie's Feather Duster|18144507|https://images.ygoprodeck.com/images/cards_small/18144507.jpg|0.067|1.0
