image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|100.00%|2.19
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|93.80%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg||81.20%|2.69
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|62.50%|2.20
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|62.50%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|56.20%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|50.00%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|43.80%|2.86
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|43.80%|2.14
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|31.20%|2.80
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|31.20%|2.00
https://images.ygoprodeck.com/images/cards/40366667.jpg||25.00%|2.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|25.00%|1.50
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|18.80%|2.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|12.50%|2.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|12.50%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|12.50%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|12.50%|1.00
https://images.ygoprodeck.com/images/cards/4227096.jpg|Mistaken Arrest|6.20%|3.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|6.20%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|6.20%|2.00
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|6.20%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|6.20%|2.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|6.20%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|6.20%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|6.20%|1.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|6.20%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|6.20%|1.00
