name|code|imgSource|deckPerc|avgCount
"Maxx ""C"""|23434538|https://images.ygoprodeck.com/images/cards_small/23434538.jpg|1.0|3.0
Ash Blossom & Joyous Spring|14558127|https://images.ygoprodeck.com/images/cards_small/14558127.jpg|1.0|3.0
Mannadium Riumheart|71277255|https://images.ygoprodeck.com/images/cards_small/71277255.jpg|1.0|3.0
Mannadium Meek|44760562|https://images.ygoprodeck.com/images/cards_small/44760562.jpg|1.0|3.0
Scareclaw Reichheart|82361809|https://images.ygoprodeck.com/images/cards_small/82361809.jpg|1.0|2.2
Mannadium Abscission|45065541|https://images.ygoprodeck.com/images/cards_small/45065541.jpg|1.0|2.1
Visas Starfrost|56099748|https://images.ygoprodeck.com/images/cards_small/56099748.jpg|1.0|2.0
Called by the Grave|24224830|https://images.ygoprodeck.com/images/cards_small/24224830.jpg|1.0|2.0
Primitive Planet Reichphobia|56063182|https://images.ygoprodeck.com/images/cards_small/56063182.jpg|1.0|1.1
Scareclaw Arrival|83558891|https://images.ygoprodeck.com/images/cards_small/83558891.jpg|1.0|1.1
Reinforcement of the Army|32807846|https://images.ygoprodeck.com/images/cards_small/32807846.jpg|1.0|1.0
Peaceful Planet Calarium|82460246|https://images.ygoprodeck.com/images/cards_small/82460246.jpg|0.9|2.556
Crossout Designator|65681983|https://images.ygoprodeck.com/images/cards_small/65681983.jpg|0.9|1.0
Mannadium Reframing|18158393|https://images.ygoprodeck.com/images/cards_small/18158393.jpg|0.8|1.0
Primeval Planet Perlereino|77103950|https://images.ygoprodeck.com/images/cards_small/77103950.jpg|0.7|1.0
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|0.6|2.167
Droll & Lock Bird|94145021|https://images.ygoprodeck.com/images/cards_small/94145021.jpg|0.6|1.667
Nibiru, the Primal Being|27204311|https://images.ygoprodeck.com/images/cards_small/27204311.jpg|0.6|1.167
Synchro Rumble|88901994|https://images.ygoprodeck.com/images/cards_small/88901994.jpg|0.6|1.0
Mannadium Imaginings|19671433|https://images.ygoprodeck.com/images/cards_small/19671433.jpg|0.5|1.0
Terraforming|73628505|https://images.ygoprodeck.com/images/cards_small/73628505.jpg|0.5|1.0
Visas Samsara|14391625|https://images.ygoprodeck.com/images/cards_small/14391625.jpg|0.4|2.0
Triple Tactics Talent|25311006|https://images.ygoprodeck.com/images/cards_small/25311006.jpg|0.4|1.25
Scareclaw Twinsaw|95245571|https://images.ygoprodeck.com/images/cards_small/95245571.jpg|0.4|1.0
Mannadium Torrid|80621253|https://images.ygoprodeck.com/images/cards_small/80621253.jpg|0.4|1.0
A Hero Lives|8949584|https://images.ygoprodeck.com/images/cards_small/8949584.jpg|0.3|3.0
Effect Veiler|97268402|https://images.ygoprodeck.com/images/cards_small/97268402.jpg|0.3|2.333
Elemental HERO Prisma|89312388|https://images.ygoprodeck.com/images/cards_small/89312388.jpg|0.3|2.0
Bystial Druiswurm|6637331|https://images.ygoprodeck.com/images/cards_small/6637331.jpg|0.2|1.0
Bystial Magnamhut|33854624|https://images.ygoprodeck.com/images/cards_small/33854624.jpg|0.2|1.0
Ghost Belle & Haunted Mansion|73642296|https://images.ygoprodeck.com/images/cards_small/73642296.jpg|0.2|1.0
Nemeses Corridor|72090076|https://images.ygoprodeck.com/images/cards_small/72090076.jpg|0.2|1.0
Nemeses Flag|19211362|https://images.ygoprodeck.com/images/cards_small/19211362.jpg|0.2|1.0
Archnemeses Protos|6728559|https://images.ygoprodeck.com/images/cards_small/6728559.jpg|0.2|1.0
Imsety, Glory of Horus|84941194|https://images.ygoprodeck.com/images/cards_small/84941194.jpg|0.1|3.0
King's Sarcophagus|16528181|https://images.ygoprodeck.com/images/cards_small/16528181.jpg|0.1|2.0
Forbidden Droplet|24299458|https://images.ygoprodeck.com/images/cards_small/24299458.jpg|0.1|2.0
Super Polymerization|48130397|https://images.ygoprodeck.com/images/cards_small/48130397.jpg|0.1|2.0
Kaiser Colosseum|35059553|https://images.ygoprodeck.com/images/cards_small/35059553.jpg|0.1|2.0
Scareclaw Defanging|7236721|https://images.ygoprodeck.com/images/cards_small/7236721.jpg|0.1|2.0
Revolution Synchron|97682931|https://images.ygoprodeck.com/images/cards_small/97682931.jpg|0.1|2.0
Mannadium Breakheart|71164684|https://images.ygoprodeck.com/images/cards_small/71164684.jpg|0.1|1.0
Mathmech Sigma|27182739|https://images.ygoprodeck.com/images/cards_small/27182739.jpg|0.1|1.0
Bystial Baldrake|72656408|https://images.ygoprodeck.com/images/cards_small/72656408.jpg|0.1|1.0
Mathmech Equation|14025912|https://images.ygoprodeck.com/images/cards_small/14025912.jpg|0.1|1.0
Archlord Kristya|59509952|https://images.ygoprodeck.com/images/cards_small/59509952.jpg|0.1|1.0
Ghost Ogre & Snow Rabbit|59438930|https://images.ygoprodeck.com/images/cards_small/59438930.jpg|0.1|1.0
Mathmech Circular|36521307|https://images.ygoprodeck.com/images/cards_small/36521307.jpg|0.1|1.0
Hapi, Guidance of Horus|47330808|https://images.ygoprodeck.com/images/cards_small/47330808.jpg|0.1|1.0
