imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.786|1.818
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|0.571|2.375
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|0.571|2.25
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|0.571|1.625
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|0.429|1.167
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|0.357|2.8
https://images.ygoprodeck.com/images/cards/43215738.jpg|Mementotlan Fracture Dance|0.357|1.0
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|0.357|1.0
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.286|2.0
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|0.286|1.0
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|0.286|1.0
https://images.ygoprodeck.com/images/cards/101206024.jpg||0.214|2.667
https://images.ygoprodeck.com/images/cards/42141493.jpg||0.214|2.667
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|0.214|2.333
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|0.214|2.0
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|0.214|1.667
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|0.214|1.333
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|0.143|3.0
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|0.143|2.0
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|0.143|2.0
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|0.143|1.5
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|0.143|1.0
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|0.143|1.0
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|0.143|1.0
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.143|1.0
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|0.143|1.0
https://images.ygoprodeck.com/images/cards/85888377.jpg|Apophis the Swamp Deity|0.143|1.0
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|0.071|3.0
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|0.071|3.0
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|0.071|3.0
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|0.071|2.0
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|0.071|2.0
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|0.071|2.0
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|0.071|2.0
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|0.071|2.0
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|0.071|1.0
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|0.071|1.0
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|0.071|1.0
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|0.071|1.0
https://images.ygoprodeck.com/images/cards/79600447.jpg|Mementotlan Cranium Burst|0.071|1.0
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|0.071|1.0
https://images.ygoprodeck.com/images/cards/94145022.jpg|Droll & Lock Bird|0.071|1.0
