image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/60095092.jpg|Vaylantz Wakening - Solo Activation|100.00%|3.00
https://images.ygoprodeck.com/images/cards/49131917.jpg|Shinonome the Vaylantz Priestess|100.00%|3.00
https://images.ygoprodeck.com/images/cards/41802073.jpg|Vaylantz Voltage Viscount|100.00%|2.62
https://images.ygoprodeck.com/images/cards/87897777.jpg|Vaylantz Mad Marquess|100.00%|2.50
https://images.ygoprodeck.com/images/cards/14418464.jpg|Vaylantz Buster Baron|100.00%|2.25
https://images.ygoprodeck.com/images/cards/75952542.jpg|Vaylantz World - Konig Wissen|100.00%|1.88
https://images.ygoprodeck.com/images/cards/15130912.jpg|Saion the Vaylantz Archer|100.00%|1.88
https://images.ygoprodeck.com/images/cards/41525660.jpg|Nazuki the Vaylantz Ninja|100.00%|1.88
https://images.ygoprodeck.com/images/cards/49568943.jpg|Vaylantz World - Shinra Bansho|100.00%|1.75
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|1.75
https://images.ygoprodeck.com/images/cards/13291886.jpg|Vaylantz Dominator Duke|100.00%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|87.50%|2.71
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|87.50%|1.71
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|75.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|75.00%|3.00
https://images.ygoprodeck.com/images/cards/57624336.jpg|Archfiend Eccentrick|75.00%|1.33
https://images.ygoprodeck.com/images/cards/78274190.jpg|Superheavy Samurai General Coral|75.00%|1.00
https://images.ygoprodeck.com/images/cards/42009836.jpg|Fossil Dyna Pachycephalo|75.00%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|62.50%|1.40
https://images.ygoprodeck.com/images/cards/92644052.jpg|Performapal Duelist Extraordinaire|62.50%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|37.50%|1.33
https://images.ygoprodeck.com/images/cards/71614230.jpg|Kai-Den Kendo Spirit|37.50%|1.33
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|37.50%|1.00
https://images.ygoprodeck.com/images/cards/92332424.jpg|Majesty Pegasus, the Dracoslayer|37.50%|1.00
https://images.ygoprodeck.com/images/cards/13179234.jpg|Vaylantz Wars - The Place of Beginning|25.00%|2.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|25.00%|2.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|25.00%|1.50
https://images.ygoprodeck.com/images/cards/63394872.jpg|Senet Switch|25.00%|1.00
https://images.ygoprodeck.com/images/cards/43857222.jpg|Magicalibra|25.00%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|25.00%|1.00
https://images.ygoprodeck.com/images/cards/68392533.jpg|Telekinetic Charging Cell|12.50%|3.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|12.50%|3.00
https://images.ygoprodeck.com/images/cards/12289247.jpg|Chronograph Sorcerer|12.50%|3.00
https://images.ygoprodeck.com/images/cards/67750322.jpg|Skull Meister|12.50%|2.00
https://images.ygoprodeck.com/images/cards/46565218.jpg|Santa Claws|12.50%|2.00
https://images.ygoprodeck.com/images/cards/45041488.jpg|Koa'ki Meiru Guardian|12.50%|2.00
https://images.ygoprodeck.com/images/cards/44179224.jpg|Abyss Actor - Curtain Raiser|12.50%|2.00
https://images.ygoprodeck.com/images/cards/20409757.jpg|Timegazer Magician|12.50%|1.00
https://images.ygoprodeck.com/images/cards/73468603.jpg|Set Rotation|12.50%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|12.50%|1.00
https://images.ygoprodeck.com/images/cards/38203732.jpg|Pendulum Paradox|12.50%|1.00
https://images.ygoprodeck.com/images/cards/71650854.jpg|Magical Mid-Breaker Field|12.50%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|12.50%|1.00
https://images.ygoprodeck.com/images/cards/88919365.jpg|Hojo the Vaylantz Warrior|12.50%|1.00
https://images.ygoprodeck.com/images/cards/43218406.jpg|Gizmek Okami, the Dreaded Deluge Dragon|12.50%|1.00
https://images.ygoprodeck.com/images/cards/92870717.jpg|Dragonox, the Empowered Warrior|12.50%|1.00
https://images.ygoprodeck.com/images/cards/69015963.jpg|Cyber-Stein|12.50%|1.00
https://images.ygoprodeck.com/images/cards/76794549.jpg|Astrograph Sorcerer|12.50%|1.00
