image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|85.70%|2.50
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|71.40%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|57.10%|2.75
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|57.10%|2.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|42.90%|3.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|42.90%|2.67
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|42.90%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|42.90%|1.00
https://images.ygoprodeck.com/images/cards/59494222.jpg|Gravekeeper's Inscription|28.60%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|28.60%|2.50
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|28.60%|2.50
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|28.60%|2.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|14.30%|3.00
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|14.30%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|14.30%|3.00
https://images.ygoprodeck.com/images/cards/42141493.jpg||14.30%|3.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|14.30%|2.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|14.30%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|14.30%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|14.30%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|14.30%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|14.30%|1.00
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|14.30%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|14.30%|1.00
