image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.83
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|91.70%|2.91
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|91.70%|1.91
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|83.30%|1.00
https://images.ygoprodeck.com/images/cards/40318957.jpg|Performapal Skullcrobat Joker|75.00%|2.44
https://images.ygoprodeck.com/images/cards/17330916.jpg|Performapal Monkeyboard|75.00%|1.00
https://images.ygoprodeck.com/images/cards/60095092.jpg|Vaylantz Wakening - Solo Activation|66.70%|3.00
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|66.70%|3.00
https://images.ygoprodeck.com/images/cards/49131917.jpg|Shinonome the Vaylantz Priestess|66.70%|3.00
https://images.ygoprodeck.com/images/cards/75952542.jpg|Vaylantz World - Konig Wissen|66.70%|2.00
https://images.ygoprodeck.com/images/cards/41802073.jpg|Vaylantz Voltage Viscount|66.70%|1.88
https://images.ygoprodeck.com/images/cards/49568943.jpg|Vaylantz World - Shinra Bansho|66.70%|1.75
https://images.ygoprodeck.com/images/cards/87897777.jpg|Vaylantz Mad Marquess|66.70%|1.25
https://images.ygoprodeck.com/images/cards/14418464.jpg|Vaylantz Buster Baron|66.70%|1.12
https://images.ygoprodeck.com/images/cards/41525660.jpg|Nazuki the Vaylantz Ninja|66.70%|1.12
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|58.30%|2.71
https://images.ygoprodeck.com/images/cards/15130912.jpg|Saion the Vaylantz Archer|58.30%|1.43
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|58.30%|1.29
https://images.ygoprodeck.com/images/cards/78274190.jpg|Superheavy Samurai General Coral|58.30%|1.00
https://images.ygoprodeck.com/images/cards/92644052.jpg|Performapal Duelist Extraordinaire|58.30%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|58.30%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|50.00%|1.67
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|50.00%|1.50
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|25.00%|2.00
https://images.ygoprodeck.com/images/cards/14513273.jpg|Supreme King Gate Magician|16.70%|3.00
