imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.846|1.963
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|0.486|2.253
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|0.466|1.0
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|0.446|1.865
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|0.437|1.353
https://images.ygoprodeck.com/images/cards/71948047.jpg|REINFORCE!|0.423|1.0
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|0.411|1.0
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|0.403|1.0
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|0.389|2.272
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|0.331|1.414
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.314|2.145
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|0.237|1.747
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|0.237|1.0
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|0.231|1.0
https://images.ygoprodeck.com/images/cards/94145022.jpg|Droll & Lock Bird|0.211|2.27
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|0.211|2.027
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|0.206|2.25
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|0.189|1.545
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|0.166|2.017
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|0.154|2.0
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|0.149|2.038
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.149|1.75
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|0.14|2.429
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|0.134|1.0
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|0.129|1.378
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|0.1|2.2
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|0.094|1.273
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|0.08|2.0
https://images.ygoprodeck.com/images/cards/59438931.jpg|Ghost Ogre & Snow Rabbit|0.08|1.357
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|0.08|1.0
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|0.077|1.963
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|0.077|1.852
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|0.077|1.333
https://images.ygoprodeck.com/images/cards/38339996.jpg|Rescue-ACE Impulse|0.066|2.0
https://images.ygoprodeck.com/images/cards/63899465.jpg|Rescue-ACE HQ|0.06|1.0
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|0.054|1.895
https://images.ygoprodeck.com/images/cards/69452756.jpg|Unending Nightmare|0.051|2.0
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|0.049|1.588
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|0.049|1.471
https://images.ygoprodeck.com/images/cards/64612053.jpg|Rescue-ACE Fire Attacker|0.046|1.0
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|0.037|2.154
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|0.034|1.25
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|0.031|1.273
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|0.031|1.0
https://images.ygoprodeck.com/images/cards/90000652.jpg|Rescue-ACE Fire Engine|0.031|1.0
https://images.ygoprodeck.com/images/cards/64697431.jpg|Hey, Trunade!|0.029|1.2
https://images.ygoprodeck.com/images/cards/24081957.jpg|Sinful Spoils of Subversion - Snake-Eye|0.029|1.0
https://images.ygoprodeck.com/images/cards/93332803.jpg|Dogoran, the Mad Flame Kaiju|0.026|1.333
https://images.ygoprodeck.com/images/cards/27868563.jpg|Goblin Biker Boom Mach|0.026|1.222
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|0.026|1.111
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|0.023|1.0
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|0.02|1.0
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|0.02|1.0
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|0.02|1.0
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|0.017|2.0
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|0.014|2.6
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|0.014|2.2
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|0.014|2.0
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|0.014|1.0
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|0.011|3.0
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|0.011|1.5
https://images.ygoprodeck.com/images/cards/29726552.jpg|Kumongous, the Sticky String Kaiju|0.011|1.5
https://images.ygoprodeck.com/images/cards/93672138.jpg|Evil★Twin's Trouble Sunny|0.011|1.0
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|0.011|1.0
https://images.ygoprodeck.com/images/cards/62098216.jpg|Evil★Twins Ki-sikil & Lil-la|0.011|1.0
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|0.011|1.0
https://images.ygoprodeck.com/images/cards/42141493.jpg||0.009|3.0
https://images.ygoprodeck.com/images/cards/35112613.jpg|Kuriphoton|0.009|1.333
https://images.ygoprodeck.com/images/cards/52038442.jpg|Ghost Mourner & Moonlit Chill|0.009|1.333
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|0.009|1.0
https://images.ygoprodeck.com/images/cards/73642297.jpg||0.009|1.0
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|0.009|1.0
https://images.ygoprodeck.com/images/cards/91706817.jpg|Angel of Blue Tears|0.009|1.0
https://images.ygoprodeck.com/images/cards/101206024.jpg||0.006|3.0
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|0.006|3.0
https://images.ygoprodeck.com/images/cards/59494222.jpg|Gravekeeper's Inscription|0.006|2.5
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.006|1.5
https://images.ygoprodeck.com/images/cards/67750322.jpg|Skull Meister|0.006|1.5
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|0.006|1.0
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|0.006|1.0
https://images.ygoprodeck.com/images/cards/72291078.jpg|Mecha Phantom Beast O-Lion|0.006|1.0
https://images.ygoprodeck.com/images/cards/4810828.jpg|Sauravis, the Ancient and Ascended|0.003|3.0
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|0.003|3.0
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|0.003|2.0
https://images.ygoprodeck.com/images/cards/9822220.jpg|Lord of the Heavenly Prison|0.003|2.0
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|0.003|2.0
https://images.ygoprodeck.com/images/cards/35059553.jpg|Kaiser Colosseum|0.003|2.0
https://images.ygoprodeck.com/images/cards/90361289.jpg|Gizmek Uka, the Festive Fox of Fecundity|0.003|2.0
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|0.003|1.0
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|0.003|1.0
https://images.ygoprodeck.com/images/cards/44097050.jpg|Mecha Phantom Beast Auroradon|0.003|1.0
https://images.ygoprodeck.com/images/cards/51916853.jpg|Magical Hound|0.003|1.0
https://images.ygoprodeck.com/images/cards/90711610.jpg|Goblin Biker Grand Entrance|0.003|1.0
https://images.ygoprodeck.com/images/cards/84792926.jpg|Therion Discolosseum|0.003|1.0
https://images.ygoprodeck.com/images/cards/5376159.jpg|Red Reign|0.003|1.0
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|0.003|1.0
https://images.ygoprodeck.com/images/cards/68250822.jpg|Spright Double Cross|0.003|1.0
https://images.ygoprodeck.com/images/cards/14087893.jpg|Book of Moon|0.003|1.0
https://images.ygoprodeck.com/images/cards/1372887.jpg|Shared Ride|0.003|1.0
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|0.003|1.0
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|0.003|1.0
https://images.ygoprodeck.com/images/cards/13836592.jpg|Behemoth the King of a Hundred Battles|0.003|1.0
https://images.ygoprodeck.com/images/cards/19254117.jpg|Rise to Full Height|0.003|1.0
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|0.003|1.0
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|0.003|1.0
https://images.ygoprodeck.com/images/cards/24079759.jpg|Goblin Biker Dugg Charger|0.003|1.0
https://images.ygoprodeck.com/images/cards/31480215.jpg|Mecha Phantom Beast Warbluran|0.003|1.0
https://images.ygoprodeck.com/images/cards/41209827.jpg|Starving Venom Fusion Dragon|0.003|1.0
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|0.003|1.0
