imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/66141736.jpg|Red Rising Dragon|1.0|2.0
https://images.ygoprodeck.com/images/cards/9753964.jpg|Hot Red Dragon Archfiend Abyss|1.0|1.667
https://images.ygoprodeck.com/images/cards/87451661.jpg|Scarred Dragon Archfiend|1.0|1.333
https://images.ygoprodeck.com/images/cards/70902743.jpg|Red Dragon Archfiend|1.0|1.333
https://images.ygoprodeck.com/images/cards/3040496.jpg|Chaos Ruler, the Chaotic Magical Dragon|1.0|1.0
https://images.ygoprodeck.com/images/cards/36857073.jpg|Hot Red Dragon Archfiend Bane|1.0|1.0
https://images.ygoprodeck.com/images/cards/27572350.jpg|Bystial Dis Pater|1.0|1.0
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|0.667|1.0
https://images.ygoprodeck.com/images/cards/4179255.jpg|Ancient Pixie Dragon|0.667|1.0
https://images.ygoprodeck.com/images/cards/99585850.jpg|Red Supernova Dragon|0.667|1.0
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|0.667|1.0
https://images.ygoprodeck.com/images/cards/62242678.jpg|Hot Red Dragon Archfiend King Calamity|0.667|1.0
https://images.ygoprodeck.com/images/cards/76774528.jpg|Scrap Dragon|0.333|1.0
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|0.333|1.0
https://images.ygoprodeck.com/images/cards/84664085.jpg|Satellite Warrior|0.333|1.0
https://images.ygoprodeck.com/images/cards/16172067.jpg|Tyrant Red Dragon Archfiend|0.333|1.0
https://images.ygoprodeck.com/images/cards/97489701.jpg|Red Nova Dragon|0.333|1.0
https://images.ygoprodeck.com/images/cards/39765958.jpg|Hot Red Dragon Archfiend|0.333|1.0
https://images.ygoprodeck.com/images/cards/81020646.jpg|Void Ogre Dragon|0.333|1.0
