image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/31562086.jpg|Runick Tip|100.00%|3.00
https://images.ygoprodeck.com/images/cards/67835547.jpg|Runick Slumber|100.00%|3.00
https://images.ygoprodeck.com/images/cards/30430448.jpg|Runick Freezing Curses|100.00%|3.00
https://images.ygoprodeck.com/images/cards/68957034.jpg|Runick Flashing Fire|100.00%|3.00
https://images.ygoprodeck.com/images/cards/94445733.jpg|Runick Destruction|100.00%|3.00
https://images.ygoprodeck.com/images/cards/92107604.jpg|Runick Fountain|100.00%|1.00
https://images.ygoprodeck.com/images/cards/59750328.jpg|Card of Demise|89.60%|3.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|89.60%|2.10
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|88.10%|1.48
https://images.ygoprodeck.com/images/cards/20618850.jpg|Runick Golden Droplet|86.60%|1.00
https://images.ygoprodeck.com/images/cards/98645731.jpg|Pot of Duality|85.10%|2.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|85.10%|1.88
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|82.10%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|82.10%|1.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|76.10%|2.14
https://images.ygoprodeck.com/images/cards/15397015.jpg|Inspector Boarder|68.70%|2.67
https://images.ygoprodeck.com/images/cards/93229151.jpg|Runick Smiting Storm|68.70%|1.02
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|58.20%|2.36
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|55.20%|2.70
https://images.ygoprodeck.com/images/cards/60306277.jpg|Synchro Zone|46.30%|1.87
https://images.ygoprodeck.com/images/cards/66712905.jpg|Runick Dispelling|38.80%|1.00
https://images.ygoprodeck.com/images/cards/32181268.jpg|Amano-Iwato|22.40%|2.20
