image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/7511613.jpg||100.00%|2.19
https://images.ygoprodeck.com/images/cards/34909328.jpg||100.00%|2.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|100.00%|1.11
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|100.00%|1.00
https://images.ygoprodeck.com/images/cards/66011101.jpg|Number 60: Dugares the Timeless|96.20%|1.04
https://images.ygoprodeck.com/images/cards/1269512.jpg|Full Armored Utopic Ray Lancer|96.20%|1.00
https://images.ygoprodeck.com/images/cards/46772449.jpg|Evilswarm Exciton Knight|96.20%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|96.20%|1.00
https://images.ygoprodeck.com/images/cards/2061963.jpg|Number 104: Masquerade|88.50%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|84.60%|1.00
https://images.ygoprodeck.com/images/cards/6983839.jpg|Tornado Dragon|50.00%|1.00
https://images.ygoprodeck.com/images/cards/61399402.jpg|Light Dragon @Ignister|46.20%|1.00
https://images.ygoprodeck.com/images/cards/8728498.jpg|Donner, Dagger Fur Hire|46.20%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|38.50%|1.00
https://images.ygoprodeck.com/images/cards/80796456.jpg|Number 70: Malevolent Sin|26.90%|1.00
https://images.ygoprodeck.com/images/cards/16643334.jpg|Starliege Photon Blast Dragon|19.20%|1.00
https://images.ygoprodeck.com/images/cards/82633039.jpg|Castel, the Skyblaster Musketeer|19.20%|1.00
https://images.ygoprodeck.com/images/cards/59627393.jpg|Number 105: Battlin' Boxer Star Cestus|15.40%|1.00
https://images.ygoprodeck.com/images/cards/67173574.jpg|Number C102: Archfiend Seraph|7.70%|1.00
https://images.ygoprodeck.com/images/cards/94380860.jpg|Number 103: Ragnazero|7.70%|1.00
https://images.ygoprodeck.com/images/cards/49678559.jpg|Number 102: Star Seraph Sentry|7.70%|1.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|7.70%|1.00
https://images.ygoprodeck.com/images/cards/6511113.jpg|Traptrix Rafflesia|3.80%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|3.80%|1.00
https://images.ygoprodeck.com/images/cards/48739166.jpg|Number 101: Silent Honor ARK|3.80%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|3.80%|1.00
