image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|84.60%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|59.00%|2.16
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|59.00%|1.78
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|51.30%|2.43
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|47.90%|2.30
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|45.30%|2.45
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|36.80%|2.51
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|33.30%|2.41
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|25.60%|1.43
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|25.60%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|23.90%|1.75
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|23.10%|2.07
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|22.20%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|20.50%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|19.70%|1.04
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|17.90%|2.14
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|15.40%|1.56
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|13.70%|1.50
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|13.70%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|11.10%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|10.30%|2.08
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|10.30%|1.17
https://images.ygoprodeck.com/images/cards/18158393.jpg|Mannadium Reframing|10.30%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|9.40%|1.82
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|8.50%|2.50
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|6.80%|2.75
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|6.00%|2.86
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|6.00%|1.86
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|5.10%|1.83
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|5.10%|1.50
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|5.10%|1.00
https://images.ygoprodeck.com/images/cards/98045062.jpg|Enemy Controller|4.30%|2.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|4.30%|1.20
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|4.30%|1.00
https://images.ygoprodeck.com/images/cards/7811875.jpg|Gravity Collapse|3.40%|3.00
https://images.ygoprodeck.com/images/cards/3259760.jpg|Spellbound|3.40%|2.75
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|3.40%|2.50
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|3.40%|2.25
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|3.40%|1.25
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|3.40%|1.00
https://images.ygoprodeck.com/images/cards/95245571.jpg|Scareclaw Twinsaw|3.40%|1.00
https://images.ygoprodeck.com/images/cards/34989413.jpg|Reprodocus|3.40%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|3.40%|1.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|2.60%|3.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|2.60%|2.67
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|2.60%|2.33
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|2.60%|2.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|2.60%|1.00
https://images.ygoprodeck.com/images/cards/43711255.jpg|Prohibition|1.70%|3.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|1.70%|2.50
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|1.70%|2.50
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|1.70%|2.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|1.70%|2.00
https://images.ygoprodeck.com/images/cards/64697431.jpg|Hey, Trunade!|1.70%|2.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|1.70%|2.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|1.70%|1.00
https://images.ygoprodeck.com/images/cards/84636823.jpg|Spell Canceller|1.70%|1.00
https://images.ygoprodeck.com/images/cards/90465153.jpg|Mannadium Prime-Heart|1.70%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|1.70%|1.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|0.90%|3.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|0.90%|3.00
https://images.ygoprodeck.com/images/cards/35059553.jpg|Kaiser Colosseum|0.90%|3.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|0.90%|3.00
https://images.ygoprodeck.com/images/cards/88369727.jpg|Foolish Return|0.90%|3.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|0.90%|3.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|0.90%|3.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|0.90%|2.00
https://images.ygoprodeck.com/images/cards/61322713.jpg|Shadow's Light|0.90%|2.00
https://images.ygoprodeck.com/images/cards/29726552.jpg|Kumongous, the Sticky String Kaiju|0.90%|2.00
https://images.ygoprodeck.com/images/cards/14087893.jpg|Book of Moon|0.90%|2.00
https://images.ygoprodeck.com/images/cards/4064256.jpg|Zombie World|0.90%|1.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|0.90%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|0.90%|1.00
https://images.ygoprodeck.com/images/cards/60362066.jpg|Tearlaments Heartbeat|0.90%|1.00
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|0.90%|1.00
https://images.ygoprodeck.com/images/cards/59120809.jpg|Scareclaw Tri-Heart|0.90%|1.00
https://images.ygoprodeck.com/images/cards/60508057.jpg|Raidraptor - Napalm Dragonius|0.90%|1.00
https://images.ygoprodeck.com/images/cards/28674152.jpg|Radian, the Multidimensional Kaiju|0.90%|1.00
https://images.ygoprodeck.com/images/cards/82983267.jpg|Purrelyeap!?|0.90%|1.00
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|0.90%|1.00
https://images.ygoprodeck.com/images/cards/90590304.jpg|Number 41: Bagooska the Terribly Tired Tapir|0.90%|1.00
https://images.ygoprodeck.com/images/cards/89208725.jpg|Metaverse|0.90%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|0.90%|1.00
https://images.ygoprodeck.com/images/cards/31149212.jpg|Kashtira Riseheart|0.90%|1.00
https://images.ygoprodeck.com/images/cards/20899496.jpg|Ice Dragon's Prison|0.90%|1.00
https://images.ygoprodeck.com/images/cards/36956512.jpg|Gadarla, the Mystery Dust Kaiju|0.90%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|0.90%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|0.90%|1.00
https://images.ygoprodeck.com/images/cards/95040215.jpg|Blackwing - Nothung the Starlight|0.90%|1.00
https://images.ygoprodeck.com/images/cards/59509952.jpg|Archlord Kristya|0.90%|1.00
https://images.ygoprodeck.com/images/cards/25862681.jpg|Ancient Fairy Dragon|0.90%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|0.90%|1.00
