imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/53776969.jpg|Scareclaw Light-Heart|1.0|2.435
https://images.ygoprodeck.com/images/cards/59120809.jpg|Scareclaw Tri-Heart|0.957|2.727
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|0.739|1.059
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|0.696|1.0
https://images.ygoprodeck.com/images/cards/97661969.jpg|Aussa the Earth Charmer, Immovable|0.565|1.0
https://images.ygoprodeck.com/images/cards/98978921.jpg|Link Spider|0.565|1.0
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|0.522|1.0
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|0.435|1.0
https://images.ygoprodeck.com/images/cards/65815684.jpg|Vicious Astraloud|0.391|1.111
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|0.391|1.0
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|0.391|1.0
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|0.348|1.0
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|0.304|1.143
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|0.261|1.0
https://images.ygoprodeck.com/images/cards/48626373.jpg|Kashtira Arise-Heart|0.174|1.25
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|0.174|1.0
https://images.ygoprodeck.com/images/cards/49202162.jpg|Black Luster Soldier - Soldier of Chaos|0.174|1.0
https://images.ygoprodeck.com/images/cards/71166481.jpg|Number 75: Bamboozling Gossip Shadow|0.13|1.0
https://images.ygoprodeck.com/images/cards/25862681.jpg|Ancient Fairy Dragon|0.13|1.0
https://images.ygoprodeck.com/images/cards/8728498.jpg|Donner, Dagger Fur Hire|0.13|1.0
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|0.13|1.0
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|0.13|1.0
https://images.ygoprodeck.com/images/cards/44405066.jpg|Red-Eyes Flare Metal Dragon|0.13|1.0
https://images.ygoprodeck.com/images/cards/98462037.jpg|Sky Striker Ace - Azalea|0.13|1.0
https://images.ygoprodeck.com/images/cards/50277355.jpg|Cross-Sheep|0.13|1.0
https://images.ygoprodeck.com/images/cards/75452921.jpg|Knightmare Cerberus|0.13|1.0
https://images.ygoprodeck.com/images/cards/60465049.jpg|Psychic End Punisher|0.087|1.0
https://images.ygoprodeck.com/images/cards/45935145.jpg|Wollow, Founder of the Drudge Dragons|0.087|1.0
https://images.ygoprodeck.com/images/cards/22110647.jpg|Mecha Phantom Beast Dracossack|0.087|1.0
https://images.ygoprodeck.com/images/cards/821049.jpg|Visas Amritara|0.087|1.0
https://images.ygoprodeck.com/images/cards/24842059.jpg|Linguriboh|0.087|1.0
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|0.087|1.0
https://images.ygoprodeck.com/images/cards/48736598.jpg|Codebreaker Virus Berserker|0.087|1.0
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|0.087|1.0
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|0.087|1.0
https://images.ygoprodeck.com/images/cards/58699500.jpg|Cherubini, Ebon Angel of the Burning Abyss|0.087|1.0
https://images.ygoprodeck.com/images/cards/84121193.jpg|Codebreaker Virus Swordsman|0.087|1.0
https://images.ygoprodeck.com/images/cards/74997493.jpg|Saryuja Skull Dread|0.087|1.0
https://images.ygoprodeck.com/images/cards/62709239.jpg|The Phantom Knights of Break Sword|0.087|1.0
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|0.087|1.0
