name|code|imgSource|deckPerc|avgCount
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|1.0|3.0
Shining Sarcophagus|79791878|https://images.ygoprodeck.com/images/cards_small/79791878.jpg|1.0|3.0
Future Silence|78679226|https://images.ygoprodeck.com/images/cards_small/78679226.jpg|1.0|3.0
Ash Blossom & Joyous Spring|14558127|https://images.ygoprodeck.com/images/cards_small/14558127.jpg|1.0|3.0
Dimension Shifter|91800273|https://images.ygoprodeck.com/images/cards_small/91800273.jpg|1.0|3.0
Pot of Prosperity|84211599|https://images.ygoprodeck.com/images/cards_small/84211599.jpg|1.0|3.0
Super Polymerization|48130397|https://images.ygoprodeck.com/images/cards_small/48130397.jpg|1.0|3.0
Gadget Trio|92110878|https://images.ygoprodeck.com/images/cards_small/92110878.jpg|1.0|3.0
Ties That Bind|32270212|https://images.ygoprodeck.com/images/cards_small/32270212.jpg|1.0|2.0
Dimensional Fissure|81674782|https://images.ygoprodeck.com/images/cards_small/81674782.jpg|1.0|2.0
Silent Swordsman Zero|39321065|https://images.ygoprodeck.com/images/cards_small/39321065.jpg|1.0|2.0
Triple Tactics Talent|25311006|https://images.ygoprodeck.com/images/cards_small/25311006.jpg|1.0|2.0
Silent Magician Zero|65726770|https://images.ygoprodeck.com/images/cards_small/65726770.jpg|1.0|2.0
Turn Silence|5786513|https://images.ygoprodeck.com/images/cards_small/5786513.jpg|1.0|2.0
Gandora-G the Dragon of Destruction|2333466|https://images.ygoprodeck.com/images/cards_small/2333466.jpg|1.0|2.0
Moremarshmallon|38505587|https://images.ygoprodeck.com/images/cards_small/38505587.jpg|1.0|1.0
Called by the Grave|24224830|https://images.ygoprodeck.com/images/cards_small/24224830.jpg|1.0|1.0
