image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|53.30%|1.19
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|46.70%|2.07
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|43.30%|1.54
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|40.00%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|36.70%|2.36
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|33.30%|1.50
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|33.30%|1.40
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|30.00%|2.67
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|30.00%|1.44
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|30.00%|1.11
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|26.70%|1.88
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|26.70%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|23.30%|2.71
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|23.30%|2.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|23.30%|1.14
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|20.00%|1.67
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|20.00%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|20.00%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|16.70%|1.40
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|16.70%|1.00
https://images.ygoprodeck.com/images/cards/101206024.jpg||13.30%|2.75
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|13.30%|2.25
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|13.30%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|13.30%|1.50
