imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|0.692|3.0
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|0.462|3.0
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|0.462|2.5
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|0.462|1.667
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|0.385|1.0
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|0.385|1.0
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|0.308|3.0
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.308|2.5
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.308|1.0
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|0.231|2.667
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|0.231|2.333
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|0.231|1.0
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|0.231|1.0
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|0.154|3.0
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.154|3.0
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|0.154|2.0
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|0.154|2.0
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|0.154|1.5
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|0.154|1.5
https://images.ygoprodeck.com/images/cards/2411269.jpg|Agave Dragon|0.154|1.0
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|0.154|1.0
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|0.154|1.0
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|0.154|1.0
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|0.154|1.0
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|0.154|1.0
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|0.077|3.0
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|0.077|3.0
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|0.077|3.0
https://images.ygoprodeck.com/images/cards/87639778.jpg|Harpie's Feather Storm|0.077|3.0
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|0.077|3.0
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|0.077|2.0
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|0.077|2.0
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|0.077|1.0
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|0.077|1.0
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|0.077|1.0
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|0.077|1.0
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.077|1.0
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|0.077|1.0
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|0.077|1.0
https://images.ygoprodeck.com/images/cards/63767246.jpg|Number 38: Hope Harbinger Dragon Titanic Galaxy|0.077|1.0
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|0.077|1.0
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|0.077|1.0
https://images.ygoprodeck.com/images/cards/50277973.jpg|Swamp Mirrorer|0.077|1.0
