image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|62.70%|2.98
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|60.00%|2.46
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|49.30%|2.65
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|48.70%|2.93
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|41.30%|2.55
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|38.70%|1.14
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|36.00%|1.00
https://images.ygoprodeck.com/images/cards/91706817.jpg|Angel of Blue Tears|35.30%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|32.70%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|32.70%|1.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|24.00%|2.69
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|20.70%|1.00
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|20.00%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|18.00%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|16.70%|2.32
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|15.30%|2.56
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|15.30%|1.83
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|15.30%|1.78
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|14.70%|1.36
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|14.70%|1.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|10.00%|2.27
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|10.00%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|10.00%|1.00
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|10.00%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|9.30%|1.36
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|9.30%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|8.70%|2.69
https://images.ygoprodeck.com/images/cards/38495396.jpg|Constellar Ptolemy M7|8.70%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|7.30%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|7.30%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|7.30%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|6.70%|2.50
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|6.00%|2.44
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|6.00%|2.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|5.30%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|5.30%|2.38
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|4.70%|1.00
https://images.ygoprodeck.com/images/cards/19254117.jpg|Rise to Full Height|4.00%|1.00
https://images.ygoprodeck.com/images/cards/95440947.jpg|Eldlich the Golden Lord|4.00%|1.00
https://images.ygoprodeck.com/images/cards/57624336.jpg|Archfiend Eccentrick|4.00%|1.00
https://images.ygoprodeck.com/images/cards/39238953.jpg|Lullaby of Obedience|3.30%|2.60
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|3.30%|1.60
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|3.30%|1.00
https://images.ygoprodeck.com/images/cards/44822037.jpg|Angel Statue - Azurune|3.30%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|2.70%|2.25
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|2.70%|2.00
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|2.70%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|2.00%|3.00
