name|code|imgSource|deckPerc|avgCount
Bystial Magnamhut|33854624|https://images.ygoprodeck.com/images/cards_small/33854624.jpg|0.877|2.561
Bystial Druiswurm|6637331|https://images.ygoprodeck.com/images/cards_small/6637331.jpg|0.877|1.158
Dinowrestler Pankratops|82385847|https://images.ygoprodeck.com/images/cards_small/82385847.jpg|0.538|1.029
Sauge de Fleur|85032782|https://images.ygoprodeck.com/images/cards_small/85032782.jpg|0.523|2.735
Archfiend Eccentrick|57624336|https://images.ygoprodeck.com/images/cards_small/57624336.jpg|0.446|2.448
Kurikara Divincarnate|35405755|https://images.ygoprodeck.com/images/cards_small/35405755.jpg|0.4|2.731
Spell Canceller|84636823|https://images.ygoprodeck.com/images/cards_small/84636823.jpg|0.4|1.038
Nibiru, the Primal Being|27204311|https://images.ygoprodeck.com/images/cards_small/27204311.jpg|0.308|2.5
Gameciel, the Sea Turtle Kaiju|55063751|https://images.ygoprodeck.com/images/cards_small/55063751.jpg|0.292|2.263
Predaplant Spider Orchid|30537973|https://images.ygoprodeck.com/images/cards_small/30537973.jpg|0.292|1.0
Ghost Belle & Haunted Mansion|73642296|https://images.ygoprodeck.com/images/cards_small/73642296.jpg|0.262|2.529
D.D. Crow|24508238|https://images.ygoprodeck.com/images/cards_small/24508238.jpg|0.231|2.467
Ghost Ogre & Snow Rabbit|59438930|https://images.ygoprodeck.com/images/cards_small/59438930.jpg|0.154|2.8
Jizukiru, the Star Destroying Kaiju|63941210|https://images.ygoprodeck.com/images/cards_small/63941210.jpg|0.154|1.2
Saryuja Skull Dread|74997493|https://images.ygoprodeck.com/images/cards_small/74997493.jpg|0.138|1.0
"Retaliating ""C"""|46502744|https://images.ygoprodeck.com/images/cards_small/46502744.jpg|0.123|2.5
Kumongous, the Sticky String Kaiju|29726552|https://images.ygoprodeck.com/images/cards_small/29726552.jpg|0.123|1.875
Anti-Spell Fragrance|58921041|https://images.ygoprodeck.com/images/cards_small/58921041.jpg|0.108|2.571
Jinzo|77585513|https://images.ygoprodeck.com/images/cards_small/77585513.jpg|0.108|1.0
Droll & Lock Bird|94145021|https://images.ygoprodeck.com/images/cards_small/94145021.jpg|0.092|2.667
Artifact Lancea|34267821|https://images.ygoprodeck.com/images/cards_small/34267821.jpg|0.077|2.6
Skill Drain|82732705|https://images.ygoprodeck.com/images/cards_small/82732705.jpg|0.062|2.75
Bystial Baldrake|72656408|https://images.ygoprodeck.com/images/cards_small/72656408.jpg|0.062|1.25
Golden Cloud Beast - Malong|93125329|https://images.ygoprodeck.com/images/cards_small/93125329.jpg|0.062|1.0
Magical Hound|51916853|https://images.ygoprodeck.com/images/cards_small/51916853.jpg|0.046|1.333
Santa Claws|46565218|https://images.ygoprodeck.com/images/cards_small/46565218.jpg|0.046|1.333
Superheavy Samurai Soulclaw|40028305|https://images.ygoprodeck.com/images/cards_small/40028305.jpg|0.046|1.0
PSY-Frame Driver|49036338|https://images.ygoprodeck.com/images/cards_small/49036338.jpg|0.046|1.0
Prohibition|43711255|https://images.ygoprodeck.com/images/cards_small/43711255.jpg|0.031|3.0
Chaos Hunter|97940434|https://images.ygoprodeck.com/images/cards_small/97940434.jpg|0.031|3.0
PSY-Framegear Delta|74203495|https://images.ygoprodeck.com/images/cards_small/74203495.jpg|0.031|3.0
Triple Tactics Talent|25311006|https://images.ygoprodeck.com/images/cards_small/25311006.jpg|0.031|2.5
Denko Sekka|13974207|https://images.ygoprodeck.com/images/cards_small/13974207.jpg|0.031|2.5
PSY-Framegear Gamma|38814750|https://images.ygoprodeck.com/images/cards_small/38814750.jpg|0.031|2.0
Ghost Mourner & Moonlit Chill|52038441|https://images.ygoprodeck.com/images/cards_small/52038441.jpg|0.031|2.0
Gadarla, the Mystery Dust Kaiju|36956512|https://images.ygoprodeck.com/images/cards_small/36956512.jpg|0.031|2.0
Trap Eater|13821299|https://images.ygoprodeck.com/images/cards_small/13821299.jpg|0.031|2.0
Ash Blossom & Joyous Spring|14558127|https://images.ygoprodeck.com/images/cards_small/14558127.jpg|0.031|1.5
"Contact ""C"""|87170768|https://images.ygoprodeck.com/images/cards_small/87170768.jpg|0.031|1.5
"Therion ""King"" Regulus"|10604644|https://images.ygoprodeck.com/images/cards_small/10604644.jpg|0.031|1.5
Superheavy Samurai Ninja Sarutobi|76471944|https://images.ygoprodeck.com/images/cards_small/76471944.jpg|0.031|1.0
Gagaga Cowboy|12014404|https://images.ygoprodeck.com/images/cards_small/12014404.jpg|0.031|1.0
Abyss Dweller|21044178|https://images.ygoprodeck.com/images/cards_small/21044178.jpg|0.031|1.0
Superheavy Samurai Thief|14756848|https://images.ygoprodeck.com/images/cards_small/14756848.jpg|0.031|1.0
Summon Limit|23516703|https://images.ygoprodeck.com/images/cards_small/23516703.jpg|0.015|3.0
Ghost Reaper & Winter Cherries|62015408|https://images.ygoprodeck.com/images/cards_small/62015408.jpg|0.015|3.0
Neo-Spacian Aqua Dolphin|17955766|https://images.ygoprodeck.com/images/cards_small/17955766.jpg|0.015|3.0
Dimensional Barrier|83326048|https://images.ygoprodeck.com/images/cards_small/83326048.jpg|0.015|3.0
Ghost Sister & Spooky Dogwood|60643554|https://images.ygoprodeck.com/images/cards_small/60643554.jpg|0.015|3.0
Lava Golem|102380|https://images.ygoprodeck.com/images/cards_small/102380.jpg|0.015|3.0
Kashtira Fenrir|32909498|https://images.ygoprodeck.com/images/cards_small/32909498.jpg|0.015|2.0
Alpha, the Master of Beasts|73304257|https://images.ygoprodeck.com/images/cards_small/73304257.jpg|0.015|2.0
Fantastical Dragon Phantazmay|78661338|https://images.ygoprodeck.com/images/cards_small/78661338.jpg|0.015|2.0
Radian, the Multidimensional Kaiju|28674152|https://images.ygoprodeck.com/images/cards_small/28674152.jpg|0.015|2.0
Superheavy Samurai Soulpeacemaker|95500396|https://images.ygoprodeck.com/images/cards_small/95500396.jpg|0.015|2.0
Scareclaw Twinsaw|95245571|https://images.ygoprodeck.com/images/cards_small/95245571.jpg|0.015|1.0
Master Pendulum, the Dracoslayer|75195825|https://images.ygoprodeck.com/images/cards_small/75195825.jpg|0.015|1.0
Artifact Moralltach|85103922|https://images.ygoprodeck.com/images/cards_small/85103922.jpg|0.015|1.0
Bystial Saronir|60242223|https://images.ygoprodeck.com/images/cards_small/60242223.jpg|0.015|1.0
Stardust Dragon|44508094|https://images.ygoprodeck.com/images/cards_small/44508094.jpg|0.015|1.0
Superheavy Samurai Soulbuster Gauntlet|35800511|https://images.ygoprodeck.com/images/cards_small/35800511.jpg|0.015|1.0
Qliphort Genius|22423493|https://images.ygoprodeck.com/images/cards_small/22423493.jpg|0.015|1.0
Mythical Beast Garuda|28570310|https://images.ygoprodeck.com/images/cards_small/28570310.jpg|0.015|1.0
Kashtira Arise-Heart|48626373|https://images.ygoprodeck.com/images/cards_small/48626373.jpg|0.015|1.0
Linguriboh|24842059|https://images.ygoprodeck.com/images/cards_small/24842059.jpg|0.015|1.0
PSY-Framegear Epsilon|1697104|https://images.ygoprodeck.com/images/cards_small/1697104.jpg|0.015|1.0
Harpie's Feather Duster|18144507|https://images.ygoprodeck.com/images/cards_small/18144507.jpg|0.015|1.0
