image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|84.60%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|76.90%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|61.50%|1.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|61.50%|1.38
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|61.50%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|53.80%|2.29
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|46.20%|2.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|46.20%|2.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|46.20%|1.33
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|38.50%|2.00
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|30.80%|1.00
https://images.ygoprodeck.com/images/cards/92332424.jpg|Majesty Pegasus, the Dracoslayer|30.80%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|30.80%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|23.10%|2.33
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|23.10%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|15.40%|2.50
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|15.40%|2.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|15.40%|2.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|15.40%|2.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|15.40%|1.50
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|15.40%|1.50
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|15.40%|1.50
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|15.40%|1.50
https://images.ygoprodeck.com/images/cards/18239909.jpg|Ignister Prominence, the Blasting Dracoslayer|15.40%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|15.40%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|7.70%|3.00
https://images.ygoprodeck.com/images/cards/59494222.jpg|Gravekeeper's Inscription|7.70%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|7.70%|3.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|7.70%|3.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|7.70%|2.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|7.70%|2.00
https://images.ygoprodeck.com/images/cards/27243130.jpg|Forbidden Lance|7.70%|2.00
https://images.ygoprodeck.com/images/cards/1344018.jpg|Time Pendulumgraph|7.70%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|7.70%|1.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|7.70%|1.00
https://images.ygoprodeck.com/images/cards/57594700.jpg|Schuberta the Melodious Maestra|7.70%|1.00
https://images.ygoprodeck.com/images/cards/48461764.jpg|Purple Poison Magician|7.70%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|7.70%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|7.70%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|7.70%|1.00
