name|code|imgSource|deckPerc|avgCount
Swordsoul Emergence|56465981|https://images.ygoprodeck.com/images/cards_small/56465981.jpg|1.0|3.0
Swordsoul Strategist Longyuan|93490856|https://images.ygoprodeck.com/images/cards_small/93490856.jpg|1.0|2.988
Swordsoul of Mo Ye|20001443|https://images.ygoprodeck.com/images/cards_small/20001443.jpg|1.0|2.977
Swordsoul of Taia|56495147|https://images.ygoprodeck.com/images/cards_small/56495147.jpg|1.0|1.953
Swordsoul Blackout|14821890|https://images.ygoprodeck.com/images/cards_small/14821890.jpg|1.0|1.047
Incredible Ecclesia, the Virtuous|55273560|https://images.ygoprodeck.com/images/cards_small/55273560.jpg|0.988|2.835
Tenyi Spirit - Ashuna|87052196|https://images.ygoprodeck.com/images/cards_small/87052196.jpg|0.965|2.976
Tenyi Spirit - Vishuda|23431858|https://images.ygoprodeck.com/images/cards_small/23431858.jpg|0.965|2.59
Tenyi Spirit - Adhara|98159737|https://images.ygoprodeck.com/images/cards_small/98159737.jpg|0.965|2.386
Pot of Desires|35261759|https://images.ygoprodeck.com/images/cards_small/35261759.jpg|0.953|1.988
Ash Blossom & Joyous Spring|14558127|https://images.ygoprodeck.com/images/cards_small/14558127.jpg|0.895|2.922
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|0.849|2.863
Heavenly Dragon Circle|51684157|https://images.ygoprodeck.com/images/cards_small/51684157.jpg|0.698|2.267
Tenyi Spirit - Shthana|24557335|https://images.ygoprodeck.com/images/cards_small/24557335.jpg|0.698|1.0
Called by the Grave|24224830|https://images.ygoprodeck.com/images/cards_small/24224830.jpg|0.512|1.0
Effect Veiler|97268402|https://images.ygoprodeck.com/images/cards_small/97268402.jpg|0.43|2.324
Swordsoul Sacred Summit|93850690|https://images.ygoprodeck.com/images/cards_small/93850690.jpg|0.407|1.057
Vessel for the Dragon Cycle|65124425|https://images.ygoprodeck.com/images/cards_small/65124425.jpg|0.349|2.267
Forbidden Droplet|24299458|https://images.ygoprodeck.com/images/cards_small/24299458.jpg|0.337|2.655
Nibiru, the Primal Being|27204311|https://images.ygoprodeck.com/images/cards_small/27204311.jpg|0.337|2.379
Triple Tactics Talent|25311006|https://images.ygoprodeck.com/images/cards_small/25311006.jpg|0.314|1.852
D.D. Crow|24508238|https://images.ygoprodeck.com/images/cards_small/24508238.jpg|0.186|2.562
Forbidden Chalice|25789292|https://images.ygoprodeck.com/images/cards_small/25789292.jpg|0.128|2.364
Evenly Matched|15693423|https://images.ygoprodeck.com/images/cards_small/15693423.jpg|0.105|2.778
Dark Ruler No More|54693926|https://images.ygoprodeck.com/images/cards_small/54693926.jpg|0.105|2.222
Crossout Designator|65681983|https://images.ygoprodeck.com/images/cards_small/65681983.jpg|0.105|2.111
Archnemeses Protos|6728559|https://images.ygoprodeck.com/images/cards_small/6728559.jpg|0.105|1.0
Deskbot 001|94693857|https://images.ygoprodeck.com/images/cards_small/94693857.jpg|0.105|1.0
Ghost Belle & Haunted Mansion|73642296|https://images.ygoprodeck.com/images/cards_small/73642296.jpg|0.093|2.625
Droll & Lock Bird|94145021|https://images.ygoprodeck.com/images/cards_small/94145021.jpg|0.093|2.375
Ghost Ogre & Snow Rabbit|59438930|https://images.ygoprodeck.com/images/cards_small/59438930.jpg|0.081|2.571
Bystial Magnamhut|33854624|https://images.ygoprodeck.com/images/cards_small/33854624.jpg|0.07|2.667
Book of Moon|14087893|https://images.ygoprodeck.com/images/cards_small/14087893.jpg|0.07|2.5
Bystial Druiswurm|6637331|https://images.ygoprodeck.com/images/cards_small/6637331.jpg|0.07|2.333
|94145022|https://images.ygoprodeck.com/images/cards_small/94145022.jpg|0.058|2.6
Destrudo the Lost Dragon's Frisson|5560911|https://images.ygoprodeck.com/images/cards_small/5560911.jpg|0.058|1.2
Tenyi Spirit - Mapura|60942444|https://images.ygoprodeck.com/images/cards_small/60942444.jpg|0.058|1.0
Mystic Mine|76375976|https://images.ygoprodeck.com/images/cards_small/76375976.jpg|0.047|3.0
Book of Eclipse|35480699|https://images.ygoprodeck.com/images/cards_small/35480699.jpg|0.047|2.75
Cosmic Cyclone|8267140|https://images.ygoprodeck.com/images/cards_small/8267140.jpg|0.047|2.5
Rivalry of Warlords|90846359|https://images.ygoprodeck.com/images/cards_small/90846359.jpg|0.035|3.0
Lightning Storm|14532163|https://images.ygoprodeck.com/images/cards_small/14532163.jpg|0.035|2.667
Dimension Shifter|91800273|https://images.ygoprodeck.com/images/cards_small/91800273.jpg|0.035|2.667
Bystial Saronir|60242223|https://images.ygoprodeck.com/images/cards_small/60242223.jpg|0.035|1.667
Harpie's Feather Duster|18144507|https://images.ygoprodeck.com/images/cards_small/18144507.jpg|0.035|1.0
Nine Pillars of Yang Zing|57831349|https://images.ygoprodeck.com/images/cards_small/57831349.jpg|0.035|1.0
Instant Fusion|1845204|https://images.ygoprodeck.com/images/cards_small/1845204.jpg|0.035|1.0
Ash Blossom & Joyous Spring|14558128|https://images.ygoprodeck.com/images/cards_small/14558128.jpg|0.023|3.0
Emergency Teleport|67723438|https://images.ygoprodeck.com/images/cards_small/67723438.jpg|0.023|2.5
Small World|89558743|https://images.ygoprodeck.com/images/cards_small/89558743.jpg|0.023|2.5
Ringowurm, the Dragon Guarding the Hundred Apples|30765615|https://images.ygoprodeck.com/images/cards_small/30765615.jpg|0.023|1.5
Triple Tactics Thrust|35269904|https://images.ygoprodeck.com/images/cards_small/35269904.jpg|0.023|1.5
Ghost Mourner & Moonlit Chill|52038441|https://images.ygoprodeck.com/images/cards_small/52038441.jpg|0.023|1.5
Imperial Order|61740673|https://images.ygoprodeck.com/images/cards_small/61740673.jpg|0.023|1.0
Gold Sarcophagus|75500286|https://images.ygoprodeck.com/images/cards_small/75500286.jpg|0.023|1.0
Chiwen, Light of the Yang Zing|61488417|https://images.ygoprodeck.com/images/cards_small/61488417.jpg|0.023|1.0
PSY-Framegear Gamma|38814750|https://images.ygoprodeck.com/images/cards_small/38814750.jpg|0.012|3.0
Raigeki|12580477|https://images.ygoprodeck.com/images/cards_small/12580477.jpg|0.012|3.0
Kashtira Fenrir|32909498|https://images.ygoprodeck.com/images/cards_small/32909498.jpg|0.012|3.0
Superheavy Samurai Motorbike|83334932|https://images.ygoprodeck.com/images/cards_small/83334932.jpg|0.012|3.0
Ghost Belle & Haunted Mansion|73642297|https://images.ygoprodeck.com/images/cards_small/73642297.jpg|0.012|3.0
Super Polymerization|48130397|https://images.ygoprodeck.com/images/cards_small/48130397.jpg|0.012|3.0
Superheavy Samurai Prodigy Wakaushi|82112494|https://images.ygoprodeck.com/images/cards_small/82112494.jpg|0.012|3.0
Ghost Ogre & Snow Rabbit|59438931|https://images.ygoprodeck.com/images/cards_small/59438931.jpg|0.012|2.0
Swordsoul Auspice Chunjun|29884951|https://images.ygoprodeck.com/images/cards_small/29884951.jpg|0.012|1.0
Superheavy Samurai Soulhorns|14624296|https://images.ygoprodeck.com/images/cards_small/14624296.jpg|0.012|1.0
PSY-Frame Driver|49036338|https://images.ygoprodeck.com/images/cards_small/49036338.jpg|0.012|1.0
Dimensional Barrier|83326048|https://images.ygoprodeck.com/images/cards_small/83326048.jpg|0.012|1.0
Upstart Goblin|70368879|https://images.ygoprodeck.com/images/cards_small/70368879.jpg|0.012|1.0
Harpie's Feather Duster|18144506|https://images.ygoprodeck.com/images/cards_small/18144506.jpg|0.012|1.0
Jiaotu, Darkness of the Yang Zing|25935625|https://images.ygoprodeck.com/images/cards_small/25935625.jpg|0.012|1.0
Mare Mare|54537489|https://images.ygoprodeck.com/images/cards_small/54537489.jpg|0.012|1.0
Suanni, Fire of the Yang Zing|30106950|https://images.ygoprodeck.com/images/cards_small/30106950.jpg|0.012|1.0
Superheavy Samurai Monk Big Benkei|19510093|https://images.ygoprodeck.com/images/cards_small/19510093.jpg|0.012|1.0
Tenyi Spirit - Nahata|97036149|https://images.ygoprodeck.com/images/cards_small/97036149.jpg|0.012|1.0
Change of Heart|4031928|https://images.ygoprodeck.com/images/cards_small/4031928.jpg|0.012|1.0
Jet Synchron|9742784|https://images.ygoprodeck.com/images/cards_small/9742784.jpg|0.012|1.0
Token Collector|43534808|https://images.ygoprodeck.com/images/cards_small/43534808.jpg|0.012|1.0
Bi'an, Earth of the Yang Zing|66500065|https://images.ygoprodeck.com/images/cards_small/66500065.jpg|0.012|1.0
