image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|100.00%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|60.00%|2.33
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|60.00%|1.67
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|60.00%|1.00
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|60.00%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|60.00%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|40.00%|3.00
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|40.00%|2.00
https://images.ygoprodeck.com/images/cards/74920585.jpg|Tearlaments Sulliek|40.00%|2.00
https://images.ygoprodeck.com/images/cards/4928565.jpg|Tearlaments Kashtira|40.00%|2.00
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|40.00%|2.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|40.00%|1.50
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|40.00%|1.50
https://images.ygoprodeck.com/images/cards/96576187.jpg|Weiss, Lightsworn Archfiend|20.00%|3.00
https://images.ygoprodeck.com/images/cards/30680659.jpg|Water Enchantress of the Temple|20.00%|3.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|20.00%|3.00
https://images.ygoprodeck.com/images/cards/96363153.jpg|Tuning|20.00%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|20.00%|3.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|20.00%|3.00
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|20.00%|3.00
https://images.ygoprodeck.com/images/cards/7805147.jpg|Soldier Dragons|20.00%|3.00
