name|code|imgSource|deckPerc|avgCount
Tearlaments Reinoheart|73956664|https://images.ygoprodeck.com/images/cards_small/73956664.jpg|1.0|2.437
Tearlaments Scheiren|572850|https://images.ygoprodeck.com/images/cards_small/572850.jpg|1.0|2.2
Tearlaments Havnis|37961969|https://images.ygoprodeck.com/images/cards_small/37961969.jpg|1.0|2.197
Tearlaments Merrli|74078255|https://images.ygoprodeck.com/images/cards_small/74078255.jpg|1.0|2.158
Primeval Planet Perlereino|77103950|https://images.ygoprodeck.com/images/cards_small/77103950.jpg|0.996|2.962
Tearlaments Sulliek|74920585|https://images.ygoprodeck.com/images/cards_small/74920585.jpg|0.992|1.731
Tearlaments Scream|6767771|https://images.ygoprodeck.com/images/cards_small/6767771.jpg|0.889|2.106
Keldo the Sacred Protector|63542003|https://images.ygoprodeck.com/images/cards_small/63542003.jpg|0.847|2.109
Mudora the Sword Oracle|99937011|https://images.ygoprodeck.com/images/cards_small/99937011.jpg|0.84|2.085
Kelbek the Ancient Vanguard|25926710|https://images.ygoprodeck.com/images/cards_small/25926710.jpg|0.784|2.088
Terraforming|73628505|https://images.ygoprodeck.com/images/cards_small/73628505.jpg|0.767|1.0
Agido the Ancient Sentinel|62320425|https://images.ygoprodeck.com/images/cards_small/62320425.jpg|0.664|1.402
Instant Fusion|1845204|https://images.ygoprodeck.com/images/cards_small/1845204.jpg|0.601|1.0
Bystial Druiswurm|6637331|https://images.ygoprodeck.com/images/cards_small/6637331.jpg|0.508|2.157
Bystial Magnamhut|33854624|https://images.ygoprodeck.com/images/cards_small/33854624.jpg|0.452|2.721
Tearlaments Kashtira|4928565|https://images.ygoprodeck.com/images/cards_small/4928565.jpg|0.429|2.971
Foolish Burial|81439173|https://images.ygoprodeck.com/images/cards_small/81439173.jpg|0.405|1.0
Triple Tactics Talent|25311006|https://images.ygoprodeck.com/images/cards_small/25311006.jpg|0.384|2.093
Trivikarma|7436169|https://images.ygoprodeck.com/images/cards_small/7436169.jpg|0.376|1.006
Super Polymerization|48130397|https://images.ygoprodeck.com/images/cards_small/48130397.jpg|0.37|2.835
Diviner of the Herald|92919429|https://images.ygoprodeck.com/images/cards_small/92919429.jpg|0.355|1.544
Tearlaments Cryme|1329620|https://images.ygoprodeck.com/images/cards_small/1329620.jpg|0.349|1.0
Tearlaments Heartbeat|60362066|https://images.ygoprodeck.com/images/cards_small/60362066.jpg|0.347|1.0
Bystial Saronir|60242223|https://images.ygoprodeck.com/images/cards_small/60242223.jpg|0.303|1.382
Herald of Orange Light|17266660|https://images.ygoprodeck.com/images/cards_small/17266660.jpg|0.271|1.698
Destiny HERO - Malicious|9411399|https://images.ygoprodeck.com/images/cards_small/9411399.jpg|0.269|2.078
Danger! Nessie!|70711847|https://images.ygoprodeck.com/images/cards_small/70711847.jpg|0.267|2.378
Foolish Burial Goods|35726888|https://images.ygoprodeck.com/images/cards_small/35726888.jpg|0.261|1.363
Kashtira Fenrir|32909498|https://images.ygoprodeck.com/images/cards_small/32909498.jpg|0.248|2.136
Shaddoll Beast|3717252|https://images.ygoprodeck.com/images/cards_small/3717252.jpg|0.239|1.0
Danger! Mothman!|52350806|https://images.ygoprodeck.com/images/cards_small/52350806.jpg|0.231|1.109
Tearlaments Metanoise|38436986|https://images.ygoprodeck.com/images/cards_small/38436986.jpg|0.231|1.009
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|0.195|2.882
King of the Swamp|79109599|https://images.ygoprodeck.com/images/cards_small/79109599.jpg|0.176|2.798
Destiny HERO - Denier|16605586|https://images.ygoprodeck.com/images/cards_small/16605586.jpg|0.168|1.0
Destrudo the Lost Dragon's Frisson|5560911|https://images.ygoprodeck.com/images/cards_small/5560911.jpg|0.166|1.038
Polymerization|24094653|https://images.ygoprodeck.com/images/cards_small/24094653.jpg|0.158|1.04
Unchained Soul of Shyama|88554436|https://images.ygoprodeck.com/images/cards_small/88554436.jpg|0.137|1.0
Imsety, Glory of Horus|84941194|https://images.ygoprodeck.com/images/cards_small/84941194.jpg|0.134|2.984
King's Sarcophagus|16528181|https://images.ygoprodeck.com/images/cards_small/16528181.jpg|0.134|2.031
