imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/4928565.jpg|Tearlaments Kashtira|1.0|3.0
https://images.ygoprodeck.com/images/cards/73956664.jpg|Tearlaments Reinoheart|1.0|3.0
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|1.0|3.0
https://images.ygoprodeck.com/images/cards/6767771.jpg|Tearlaments Scream|1.0|2.667
https://images.ygoprodeck.com/images/cards/74920585.jpg|Tearlaments Sulliek|1.0|2.333
https://images.ygoprodeck.com/images/cards/7436169.jpg|Trivikarma|1.0|1.0
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|1.0|1.0
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|1.0|1.0
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|1.0|1.0
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|0.667|3.0
https://images.ygoprodeck.com/images/cards/9411399.jpg|Destiny HERO - Malicious|0.667|3.0
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|0.667|2.5
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|0.667|2.0
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|0.667|2.0
https://images.ygoprodeck.com/images/cards/33878367.jpg|Tearlaments Grief|0.667|1.5
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.667|1.0
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|0.667|1.0
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|0.667|1.0
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|0.667|1.0
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|0.667|1.0
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|0.667|1.0
https://images.ygoprodeck.com/images/cards/38436986.jpg|Tearlaments Metanoise|0.667|1.0
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|0.333|3.0
https://images.ygoprodeck.com/images/cards/70711847.jpg|Danger! Nessie!|0.333|3.0
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|0.333|3.0
https://images.ygoprodeck.com/images/cards/79109599.jpg|King of the Swamp|0.333|3.0
https://images.ygoprodeck.com/images/cards/52350806.jpg|Danger! Mothman!|0.333|2.0
https://images.ygoprodeck.com/images/cards/3717252.jpg|Shaddoll Beast|0.333|1.0
https://images.ygoprodeck.com/images/cards/92079625.jpg|Helshaddoll Hollow|0.333|1.0
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|0.333|1.0
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|0.333|1.0
https://images.ygoprodeck.com/images/cards/68215963.jpg|Crystal Beast Emerald Tortoise|0.333|1.0
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|0.333|1.0
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|0.333|1.0
https://images.ygoprodeck.com/images/cards/30328508.jpg|Shaddoll Squamata|0.333|1.0
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|0.333|1.0
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|0.333|1.0
https://images.ygoprodeck.com/images/cards/81439174.jpg|Foolish Burial|0.333|1.0
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|0.333|1.0
https://images.ygoprodeck.com/images/cards/5611760.jpg|Rainbow Bridge of Salvation|0.333|1.0
https://images.ygoprodeck.com/images/cards/26984177.jpg|Walls of the Imperial Tomb|0.333|1.0
https://images.ygoprodeck.com/images/cards/77723643.jpg|Shaddoll Dragon|0.333|1.0
