name|code|imgSource|deckPerc|avgCount
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|1.0|3.0
Tellarknight Lyran|79210531|https://images.ygoprodeck.com/images/cards_small/79210531.jpg|1.0|3.0
"Maxx ""C"""|23434538|https://images.ygoprodeck.com/images/cards_small/23434538.jpg|1.0|3.0
Ash Blossom & Joyous Spring|14558127|https://images.ygoprodeck.com/images/cards_small/14558127.jpg|1.0|3.0
Sakitama|67972302|https://images.ygoprodeck.com/images/cards_small/67972302.jpg|1.0|3.0
Satellarknight Deneb|75878039|https://images.ygoprodeck.com/images/cards_small/75878039.jpg|1.0|2.333
Called by the Grave|24224830|https://images.ygoprodeck.com/images/cards_small/24224830.jpg|1.0|2.0
Satellarknight Altair|2273734|https://images.ygoprodeck.com/images/cards_small/2273734.jpg|1.0|2.0
Satellarknight Unukalhai|1050186|https://images.ygoprodeck.com/images/cards_small/1050186.jpg|1.0|2.0
Dimension Shifter|91800273|https://images.ygoprodeck.com/images/cards_small/91800273.jpg|1.0|2.0
Constellar Tellarknights|10125011|https://images.ygoprodeck.com/images/cards_small/10125011.jpg|1.0|2.0
Constellar Caduceus|82913020|https://images.ygoprodeck.com/images/cards_small/82913020.jpg|1.0|2.0
Ghost Mourner & Moonlit Chill|52038441|https://images.ygoprodeck.com/images/cards_small/52038441.jpg|1.0|1.333
Satellarknight Skybridge|18205590|https://images.ygoprodeck.com/images/cards_small/18205590.jpg|1.0|1.0
Tellarknight Altairan|42822433|https://images.ygoprodeck.com/images/cards_small/42822433.jpg|1.0|1.0
Reinforcement of the Army|32807846|https://images.ygoprodeck.com/images/cards_small/32807846.jpg|1.0|1.0
Constellar Sheratan|78486968|https://images.ygoprodeck.com/images/cards_small/78486968.jpg|1.0|1.0
Photon Thrasher|65367484|https://images.ygoprodeck.com/images/cards_small/65367484.jpg|1.0|1.0
Vanquish Soul Pantera|66401502|https://images.ygoprodeck.com/images/cards_small/66401502.jpg|1.0|1.0
Satellarknight Vega|38667773|https://images.ygoprodeck.com/images/cards_small/38667773.jpg|1.0|1.0
Gozen Match|53334471|https://images.ygoprodeck.com/images/cards_small/53334471.jpg|0.667|2.0
Pot of Desires|35261759|https://images.ygoprodeck.com/images/cards_small/35261759.jpg|0.333|1.0
Crossout Designator|65681983|https://images.ygoprodeck.com/images/cards_small/65681983.jpg|0.333|1.0
Droll & Lock Bird|94145021|https://images.ygoprodeck.com/images/cards_small/94145021.jpg|0.333|1.0
