imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|1.0|3.0
https://images.ygoprodeck.com/images/cards/66730191.jpg|Sangen Kaimen|1.0|3.0
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|1.0|2.982
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|1.0|2.964
https://images.ygoprodeck.com/images/cards/91810826.jpg|Tenpai Dragon Chundra|1.0|2.946
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|1.0|2.946
https://images.ygoprodeck.com/images/cards/23657016.jpg|Tenpai Dragon Genroku|1.0|2.036
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|1.0|1.393
https://images.ygoprodeck.com/images/cards/30336082.jpg|Sangen Summoning|1.0|1.0
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|0.982|1.0
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|0.964|1.0
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|0.893|1.0
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|0.857|2.979
https://images.ygoprodeck.com/images/cards/11590299.jpg|Dora Dora|0.857|1.167
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|0.75|2.905
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|0.732|2.707
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|0.714|2.0
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.679|2.105
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|0.393|2.409
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|0.232|1.769
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|0.196|1.0
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|0.179|2.1
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|0.179|1.8
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.143|2.125
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|0.143|1.0
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|0.143|1.0
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|0.107|2.0
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|0.107|1.0
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|0.107|1.0
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|0.089|1.6
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|0.071|1.0
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|0.071|1.0
https://images.ygoprodeck.com/images/cards/101206079.jpg||0.054|3.0
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|0.054|2.667
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|0.054|1.667
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|0.054|1.0
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|0.036|1.5
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|0.036|1.0
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|0.036|1.0
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|0.036|1.0
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|0.018|3.0
https://images.ygoprodeck.com/images/cards/63166095.jpg|Sky Striker Mobilize - Engage!|0.018|3.0
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|0.018|3.0
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|0.018|3.0
https://images.ygoprodeck.com/images/cards/98338152.jpg|Sky Striker Mecha - Widow Anchor|0.018|3.0
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|0.018|2.0
https://images.ygoprodeck.com/images/cards/94145022.jpg|Droll & Lock Bird|0.018|2.0
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|0.018|1.0
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|0.018|1.0
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|0.018|1.0
https://images.ygoprodeck.com/images/cards/59438931.jpg||0.018|1.0
https://images.ygoprodeck.com/images/cards/52340444.jpg|Sky Striker Mecha - Hornet Drones|0.018|1.0
