imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|0.856|2.718
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|0.658|2.432
https://images.ygoprodeck.com/images/cards/12435193.jpg|Koa'ki Meiru Drago|0.594|1.0
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|0.435|3.0
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|0.385|1.0
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|0.36|2.83
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|0.295|2.988
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|0.288|1.3
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|0.273|2.592
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|0.234|1.0
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|0.165|2.696
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|0.162|2.622
https://images.ygoprodeck.com/images/cards/46565218.jpg|Santa Claws|0.147|2.317
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|0.14|2.718
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|0.14|2.487
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|0.137|1.842
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|0.122|1.0
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|0.115|2.625
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|0.115|2.562
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|0.09|2.28
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|0.09|2.28
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|0.079|1.0
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|0.072|2.8
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|0.072|1.0
https://images.ygoprodeck.com/images/cards/19844995.jpg|Power Filter|0.068|2.737
https://images.ygoprodeck.com/images/cards/98898163.jpg|Grandtusk Dragon|0.065|1.0
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|0.061|1.0
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.054|1.0
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|0.05|2.643
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|0.05|1.643
https://images.ygoprodeck.com/images/cards/47355498.jpg|Necrovalley|0.043|1.0
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|0.04|2.636
