image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/1528054.jpg|Silhouhatte Rabbit|100.00%|1.00
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|75.00%|1.33
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|75.00%|1.33
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|75.00%|1.00
https://images.ygoprodeck.com/images/cards/14529511.jpg|Mementomictlan Tecuhtlica - Creation King|50.00%|2.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|50.00%|1.50
https://images.ygoprodeck.com/images/cards/19181420.jpg|Mementotlan Twin Dragon|50.00%|1.50
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|50.00%|1.00
https://images.ygoprodeck.com/images/cards/11321089.jpg|Guardian Chimera|50.00%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|50.00%|1.00
https://images.ygoprodeck.com/images/cards/96113307.jpg|Ritual Beast Ulti-Reirautari|25.00%|2.00
https://images.ygoprodeck.com/images/cards/69718652.jpg|Ritual Beast Ulti-Nochiudrago|25.00%|2.00
https://images.ygoprodeck.com/images/cards/48063985.jpg|Ritual Beast Ulti-Cannahawk|25.00%|2.00
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|25.00%|2.00
https://images.ygoprodeck.com/images/cards/15291624.jpg|Thunder Dragon Colossus|25.00%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|25.00%|1.00
https://images.ygoprodeck.com/images/cards/41209827.jpg|Starving Venom Fusion Dragon|25.00%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|25.00%|1.00
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|25.00%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|25.00%|1.00
https://images.ygoprodeck.com/images/cards/58811192.jpg|Ritual Beast Ulti-Kimunfalcos|25.00%|1.00
https://images.ygoprodeck.com/images/cards/56655675.jpg|Ritual Beast Ulti-Gaiapelio|25.00%|1.00
https://images.ygoprodeck.com/images/cards/86274272.jpg|Ritual Beast Ulti-Apelio|25.00%|1.00
https://images.ygoprodeck.com/images/cards/69946549.jpg|Predaplant Dragostapelia|25.00%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|25.00%|1.00
https://images.ygoprodeck.com/images/cards/98978921.jpg|Link Spider|25.00%|1.00
https://images.ygoprodeck.com/images/cards/38342336.jpg|Knightmare Unicorn|25.00%|1.00
https://images.ygoprodeck.com/images/cards/29423048.jpg|Infernal Flame Banshee|25.00%|1.00
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|25.00%|1.00
https://images.ygoprodeck.com/images/cards/46935289.jpg|Herald of Mirage Lights|25.00%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|25.00%|1.00
https://images.ygoprodeck.com/images/cards/8728498.jpg|Donner, Dagger Fur Hire|25.00%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|25.00%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|25.00%|1.00
https://images.ygoprodeck.com/images/cards/34755994.jpg|Artemis, the Magistus Moon Maiden|25.00%|1.00
