image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|66.70%|2.57
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|50.40%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|35.70%|2.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|34.10%|2.57
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|31.00%|2.95
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|29.50%|2.21
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|27.10%|1.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|26.40%|2.56
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|25.60%|2.64
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|24.80%|2.66
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|24.80%|1.28
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|24.80%|1.25
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|24.00%|2.52
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|21.70%|1.71
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|20.20%|2.88
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|18.60%|2.12
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|17.80%|2.48
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|17.10%|1.04
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|14.70%|2.16
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|14.70%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|12.40%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|10.90%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|10.10%|2.85
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|10.10%|1.15
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|9.30%|1.83
https://images.ygoprodeck.com/images/cards/93084621.jpg|Unchained Soul of Anguish|9.30%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|8.50%|1.36
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|7.80%|2.60
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|7.80%|2.50
