name|code|imgSource|deckPerc|avgCount
Unchained Soul of Sharvara|41165831|https://images.ygoprodeck.com/images/cards_small/41165831.jpg|1.0|3.0
"Maxx ""C"""|23434538|https://images.ygoprodeck.com/images/cards_small/23434538.jpg|1.0|3.0
Ash Blossom & Joyous Spring|14558127|https://images.ygoprodeck.com/images/cards_small/14558127.jpg|1.0|3.0
Abomination's Prison|27412542|https://images.ygoprodeck.com/images/cards_small/27412542.jpg|1.0|3.0
Fiendsmith Engraver|60764609|https://images.ygoprodeck.com/images/cards_small/60764609.jpg|1.0|2.833
Tour Guide From the Underworld|10802915|https://images.ygoprodeck.com/images/cards_small/10802915.jpg|1.0|2.833
Droll & Lock Bird|94145021|https://images.ygoprodeck.com/images/cards_small/94145021.jpg|1.0|2.667
Unchained Twins - Aruha|26236560|https://images.ygoprodeck.com/images/cards_small/26236560.jpg|1.0|2.0
Called by the Grave|24224830|https://images.ygoprodeck.com/images/cards_small/24224830.jpg|1.0|2.0
Fiendsmith's Tract|98567237|https://images.ygoprodeck.com/images/cards_small/98567237.jpg|1.0|2.0
Escape of the Unchained|53417695|https://images.ygoprodeck.com/images/cards_small/53417695.jpg|1.0|1.667
Abominable Chamber of the Unchained|80801743|https://images.ygoprodeck.com/images/cards_small/80801743.jpg|1.0|1.333
Fabled Lurrie|97651498|https://images.ygoprodeck.com/images/cards_small/97651498.jpg|1.0|1.0
Crossout Designator|65681983|https://images.ygoprodeck.com/images/cards_small/65681983.jpg|1.0|1.0
Unchained Soul of Shyama|88554436|https://images.ygoprodeck.com/images/cards_small/88554436.jpg|1.0|1.0
Unchained Twins - Rakea|53624265|https://images.ygoprodeck.com/images/cards_small/53624265.jpg|1.0|1.0
Unchained Twins - Sarama|31588572|https://images.ygoprodeck.com/images/cards_small/31588572.jpg|1.0|1.0
Lacrima the Crimson Tears|28803166|https://images.ygoprodeck.com/images/cards_small/28803166.jpg|1.0|1.0
Fiendish Rhino Warrior|81035362|https://images.ygoprodeck.com/images/cards_small/81035362.jpg|1.0|1.0
Abominable Unchained Soul|1966438|https://images.ygoprodeck.com/images/cards_small/1966438.jpg|1.0|1.0
Infinite Impermanence|10045474|https://images.ygoprodeck.com/images/cards_small/10045474.jpg|0.833|2.2
Unchained Soul of Disaster|89019964|https://images.ygoprodeck.com/images/cards_small/89019964.jpg|0.333|1.0
|42141493|https://images.ygoprodeck.com/images/cards_small/42141493.jpg|0.167|2.0
Triple Tactics Talent|25311006|https://images.ygoprodeck.com/images/cards_small/25311006.jpg|0.167|1.0
Sangan|26202165|https://images.ygoprodeck.com/images/cards_small/26202165.jpg|0.167|1.0
Nibiru, the Primal Being|27204311|https://images.ygoprodeck.com/images/cards_small/27204311.jpg|0.167|1.0
Fiendsmith's Sanct|35552985|https://images.ygoprodeck.com/images/cards_small/35552985.jpg|0.167|1.0
