name|code|imgSource|deckPerc|avgCount
Rock of the Vanquisher|28168628|https://images.ygoprodeck.com/images/cards_small/28168628.jpg|1.0|2.952
Divine Arsenal AA-ZEUS - Sky Thunder|90448279|https://images.ygoprodeck.com/images/cards_small/90448279.jpg|0.94|1.192
Knightmare Phoenix|2857636|https://images.ygoprodeck.com/images/cards_small/2857636.jpg|0.88|1.0
Number 41: Bagooska the Terribly Tired Tapir|90590303|https://images.ygoprodeck.com/images/cards_small/90590303.jpg|0.867|1.0
Abyss Dweller|21044178|https://images.ygoprodeck.com/images/cards_small/21044178.jpg|0.614|1.02
Zoodiac Boarbow|74393852|https://images.ygoprodeck.com/images/cards_small/74393852.jpg|0.59|1.02
Zoodiac Chakanine|41375811|https://images.ygoprodeck.com/images/cards_small/41375811.jpg|0.566|1.021
Knightmare Cerberus|75452921|https://images.ygoprodeck.com/images/cards_small/75452921.jpg|0.506|1.0
Super Starslayer TY-PHON - Sky Crisis|93039339|https://images.ygoprodeck.com/images/cards_small/93039339.jpg|0.47|1.0
S:P Little Knight|29301450|https://images.ygoprodeck.com/images/cards_small/29301450.jpg|0.434|1.056
Battlin' Boxer King Dempsey|46804536|https://images.ygoprodeck.com/images/cards_small/46804536.jpg|0.41|1.0
Evilswarm Exciton Knight|46772449|https://images.ygoprodeck.com/images/cards_small/46772449.jpg|0.41|1.0
Baronne de Fleur|84815190|https://images.ygoprodeck.com/images/cards_small/84815190.jpg|0.277|1.0
Number 11: Big Eye|80117527|https://images.ygoprodeck.com/images/cards_small/80117527.jpg|0.265|1.0
Knightmare Unicorn|38342335|https://images.ygoprodeck.com/images/cards_small/38342335.jpg|0.253|1.0
Kashtira Arise-Heart|48626373|https://images.ygoprodeck.com/images/cards_small/48626373.jpg|0.253|1.0
Linguriboh|24842059|https://images.ygoprodeck.com/images/cards_small/24842059.jpg|0.229|1.053
Underworld Goddess of the Closed World|98127546|https://images.ygoprodeck.com/images/cards_small/98127546.jpg|0.229|1.0
Security Dragon|99111753|https://images.ygoprodeck.com/images/cards_small/99111753.jpg|0.229|1.0
Garura, Wings of Resonant Life|11765832|https://images.ygoprodeck.com/images/cards_small/11765832.jpg|0.205|1.0
Tornado Dragon|6983839|https://images.ygoprodeck.com/images/cards_small/6983839.jpg|0.193|1.0
Hiita the Fire Charmer, Ablaze|48815792|https://images.ygoprodeck.com/images/cards_small/48815792.jpg|0.169|1.0
Dark Armed, the Dragon of Annihilation|78144171|https://images.ygoprodeck.com/images/cards_small/78144171.jpg|0.145|1.0
Accesscode Talker|86066372|https://images.ygoprodeck.com/images/cards_small/86066372.jpg|0.145|1.0
Chaos Angel|22850702|https://images.ygoprodeck.com/images/cards_small/22850702.jpg|0.133|1.0
Dharc the Dark Charmer, Gloomy|8264361|https://images.ygoprodeck.com/images/cards_small/8264361.jpg|0.133|1.0
Mudragon of the Swamp|54757758|https://images.ygoprodeck.com/images/cards_small/54757758.jpg|0.133|1.0
Black Luster Soldier - Soldier of Chaos|49202162|https://images.ygoprodeck.com/images/cards_small/49202162.jpg|0.12|1.0
Springans Merrymaker|48285768|https://images.ygoprodeck.com/images/cards_small/48285768.jpg|0.108|1.0
"Gigantic ""Champion"" Sargas"|11132674|https://images.ygoprodeck.com/images/cards_small/11132674.jpg|0.108|1.0
I:P Masquerena|65741786|https://images.ygoprodeck.com/images/cards_small/65741786.jpg|0.096|1.0
Red-Eyes Flare Metal Dragon|44405066|https://images.ygoprodeck.com/images/cards_small/44405066.jpg|0.084|1.0
Elder Entity N'tss|80532587|https://images.ygoprodeck.com/images/cards_small/80532587.jpg|0.072|1.0
Accel Synchro Stardust Dragon|30983281|https://images.ygoprodeck.com/images/cards_small/30983281.jpg|0.072|1.0
PSY-Framelord Omega|74586817|https://images.ygoprodeck.com/images/cards_small/74586817.jpg|0.072|1.0
Predaplant Dragostapelia|69946549|https://images.ygoprodeck.com/images/cards_small/69946549.jpg|0.06|1.0
Zoodiac Tigermortar|11510448|https://images.ygoprodeck.com/images/cards_small/11510448.jpg|0.048|1.0
Tri-Brigade Arms Bucephalus II|10019086|https://images.ygoprodeck.com/images/cards_small/10019086.jpg|0.048|1.0
Dragon Knight Draco-Equiste|14017402|https://images.ygoprodeck.com/images/cards_small/14017402.jpg|0.048|1.0
Mecha Phantom Beast Dracossack|22110647|https://images.ygoprodeck.com/images/cards_small/22110647.jpg|0.048|1.0
Starving Venom Fusion Dragon|41209827|https://images.ygoprodeck.com/images/cards_small/41209827.jpg|0.048|1.0
Superheavy Samurai Scarecrow|33918636|https://images.ygoprodeck.com/images/cards_small/33918636.jpg|0.036|1.0
Kashtira Shangri-Ira|73542331|https://images.ygoprodeck.com/images/cards_small/73542331.jpg|0.036|1.0
Golden Cloud Beast - Malong|93125329|https://images.ygoprodeck.com/images/cards_small/93125329.jpg|0.036|1.0
Destiny HERO - Destroyer Phoenix Enforcer|60461804|https://images.ygoprodeck.com/images/cards_small/60461804.jpg|0.036|1.0
Gagaga Cowboy|12014404|https://images.ygoprodeck.com/images/cards_small/12014404.jpg|0.036|1.0
Crystal Wing Synchro Dragon|50954680|https://images.ygoprodeck.com/images/cards_small/50954680.jpg|0.036|1.0
Power Tool Dragon|2403771|https://images.ygoprodeck.com/images/cards_small/2403771.jpg|0.036|1.0
Aussa the Earth Charmer, Immovable|97661969|https://images.ygoprodeck.com/images/cards_small/97661969.jpg|0.024|1.0
Mereologic Aggregator|9940036|https://images.ygoprodeck.com/images/cards_small/9940036.jpg|0.024|1.0
Primathmech Alembertian|85692042|https://images.ygoprodeck.com/images/cards_small/85692042.jpg|0.024|1.0
Splash Mage|59859086|https://images.ygoprodeck.com/images/cards_small/59859086.jpg|0.024|1.0
Expurrely Noir|83827392|https://images.ygoprodeck.com/images/cards_small/83827392.jpg|0.024|1.0
Evil★Twin's Trouble Sunny|93672138|https://images.ygoprodeck.com/images/cards_small/93672138.jpg|0.024|1.0
Decode Talker Heatsoul|61245672|https://images.ygoprodeck.com/images/cards_small/61245672.jpg|0.024|1.0
Odd-Eyes Rebellion Dragon Overlord|98452268|https://images.ygoprodeck.com/images/cards_small/98452268.jpg|0.024|1.0
Sky Striker Ace - Azalea|98462037|https://images.ygoprodeck.com/images/cards_small/98462037.jpg|0.024|1.0
Dark Rebellion Xyz Dragon|16195942|https://images.ygoprodeck.com/images/cards_small/16195942.jpg|0.024|1.0
Promethean Princess, Bestower of Flames|2772337|https://images.ygoprodeck.com/images/cards_small/2772337.jpg|0.024|1.0
Primathmech Laplacian|88021907|https://images.ygoprodeck.com/images/cards_small/88021907.jpg|0.024|1.0
Kuibelt the Blade Dragon|87837090|https://images.ygoprodeck.com/images/cards_small/87837090.jpg|0.024|1.0
Donner, Dagger Fur Hire|8728498|https://images.ygoprodeck.com/images/cards_small/8728498.jpg|0.024|1.0
Black Rose Dragon|73580471|https://images.ygoprodeck.com/images/cards_small/73580471.jpg|0.024|1.0
Number 60: Dugares the Timeless|66011101|https://images.ygoprodeck.com/images/cards_small/66011101.jpg|0.024|1.0
Gilti-Gearfried the Magical Steel Knight|49161188|https://images.ygoprodeck.com/images/cards_small/49161188.jpg|0.024|1.0
Predaplant Triphyoverutum|79864860|https://images.ygoprodeck.com/images/cards_small/79864860.jpg|0.012|1.0
