image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/9350312.jpg|Vernusylph of the Flourishing Hills|100.00%|2.50
https://images.ygoprodeck.com/images/cards/36745317.jpg|Vernusylph of the Awakening Forests|100.00%|2.25
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|1.62
https://images.ygoprodeck.com/images/cards/81519836.jpg|Vernusylph of the Misting Seedlings|87.50%|2.71
https://images.ygoprodeck.com/images/cards/9238125.jpg|Vernusylph of the Thawing Mountains|75.00%|2.17
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|62.50%|3.00
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|62.50%|2.00
https://images.ygoprodeck.com/images/cards/12467005.jpg|Tackle Crusader|62.50%|1.20
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|62.50%|1.00
https://images.ygoprodeck.com/images/cards/87347365.jpg|Revival Golem|62.50%|1.00
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|62.50%|1.00
https://images.ygoprodeck.com/images/cards/47606319.jpg|Gigantes|62.50%|1.00
https://images.ygoprodeck.com/images/cards/94689206.jpg|Block Dragon|62.50%|1.00
https://images.ygoprodeck.com/images/cards/48519867.jpg|Adamancipator Seeker|62.50%|1.00
https://images.ygoprodeck.com/images/cards/3734202.jpg|Naturia Sacred Tree|50.00%|3.00
https://images.ygoprodeck.com/images/cards/93454062.jpg|Naturia Mole Cricket|50.00%|3.00
https://images.ygoprodeck.com/images/cards/29942771.jpg|Naturia Camellia|50.00%|3.00
https://images.ygoprodeck.com/images/cards/34813545.jpg|Naturia Blessing|50.00%|2.25
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|50.00%|2.00
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|50.00%|1.75
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|50.00%|1.75
https://images.ygoprodeck.com/images/cards/45041488.jpg|Koa'ki Meiru Guardian|50.00%|1.50
https://images.ygoprodeck.com/images/cards/85914562.jpg|Adamancipator Researcher|50.00%|1.25
https://images.ygoprodeck.com/images/cards/7478431.jpg|Naturia Sunflower|50.00%|1.00
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|50.00%|1.00
https://images.ygoprodeck.com/images/cards/86852702.jpg|Machina Redeployment|37.50%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|37.50%|2.33
https://images.ygoprodeck.com/images/cards/62133026.jpg|Vernusylph of the Flowering Fields|37.50%|2.00
https://images.ygoprodeck.com/images/cards/35645105.jpg|Infinitrack Harvester|37.50%|2.00
https://images.ygoprodeck.com/images/cards/69838761.jpg|Machina Metalcruncher|37.50%|1.67
https://images.ygoprodeck.com/images/cards/76830505.jpg|Infinitrack Brutal Dozer|37.50%|1.67
https://images.ygoprodeck.com/images/cards/36187051.jpg|Rock Band Xenoguitar|37.50%|1.33
https://images.ygoprodeck.com/images/cards/61912252.jpg|Infinitrack Trencher|37.50%|1.33
https://images.ygoprodeck.com/images/cards/13647631.jpg|Heavy Freight Train Derricrane|37.50%|1.33
https://images.ygoprodeck.com/images/cards/52481437.jpg|Super Express Bullet Train|37.50%|1.00
https://images.ygoprodeck.com/images/cards/84905691.jpg|Naturia Horneedle|37.50%|1.00
https://images.ygoprodeck.com/images/cards/59741415.jpg|Machina Overdrive|37.50%|1.00
https://images.ygoprodeck.com/images/cards/5556499.jpg|Machina Fortress|37.50%|1.00
https://images.ygoprodeck.com/images/cards/87074380.jpg|Machina Citadel|37.50%|1.00
https://images.ygoprodeck.com/images/cards/97316367.jpg|Infinitrack Tunneller|37.50%|1.00
https://images.ygoprodeck.com/images/cards/67441435.jpg|Glow-Up Bulb|37.50%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|37.50%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|37.50%|1.00
https://images.ygoprodeck.com/images/cards/19740112.jpg|Barrier Statue of the Drought|37.50%|1.00
https://images.ygoprodeck.com/images/cards/60953949.jpg|Ancient Gear Box|37.50%|1.00
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|25.00%|3.00
https://images.ygoprodeck.com/images/cards/83334932.jpg|Superheavy Samurai Motorbike|25.00%|3.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|25.00%|3.00
https://images.ygoprodeck.com/images/cards/42940404.jpg|Machina Gearframe|25.00%|3.00
https://images.ygoprodeck.com/images/cards/25274141.jpg|Urgent Schedule|25.00%|2.50
https://images.ygoprodeck.com/images/cards/34721681.jpg|Heavy Forward|25.00%|2.50
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|25.00%|1.50
https://images.ygoprodeck.com/images/cards/19510093.jpg|Superheavy Samurai Monk Big Benkei|25.00%|1.50
https://images.ygoprodeck.com/images/cards/45674286.jpg|Machina Unclaspare|25.00%|1.00
https://images.ygoprodeck.com/images/cards/62034800.jpg|Infinitrack Anchor Drill|25.00%|1.00
https://images.ygoprodeck.com/images/cards/17535764.jpg|Gokipole|25.00%|1.00
https://images.ygoprodeck.com/images/cards/11302671.jpg|Adamancipator Analyzer|25.00%|1.00
https://images.ygoprodeck.com/images/cards/59094601.jpg|The Revived Sky God|12.50%|3.00
https://images.ygoprodeck.com/images/cards/34496660.jpg|Superheavy Samurai Wagon|12.50%|3.00
