image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/98477480.jpg|Barrier of the Voiceless Voice|100.00%|3.00
https://images.ygoprodeck.com/images/cards/51296484.jpg|Saffira, Dragon Queen of the Voiceless Voice|100.00%|2.99
https://images.ygoprodeck.com/images/cards/25801745.jpg|Lo, the Prayers of the Voiceless Voice|100.00%|2.93
https://images.ygoprodeck.com/images/cards/13048472.jpg|Pre-Preparation of Rites|100.00%|2.66
https://images.ygoprodeck.com/images/cards/10774240.jpg|Skull Guardian, Protector of the Voiceless Voice|100.00%|2.00
https://images.ygoprodeck.com/images/cards/52472775.jpg|Prayers of the Voiceless Voice|100.00%|2.00
https://images.ygoprodeck.com/images/cards/4810828.jpg|Sauravis, the Ancient and Ascended|100.00%|1.60
https://images.ygoprodeck.com/images/cards/86310763.jpg|Radiance of the Voiceless Voice|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|96.30%|2.98
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|96.30%|2.98
https://images.ygoprodeck.com/images/cards/88284599.jpg|Sauravis, Dragon Sage of the Voiceless Voice|96.30%|1.00
https://images.ygoprodeck.com/images/cards/92919429.jpg|Diviner of the Herald|95.10%|3.00
https://images.ygoprodeck.com/images/cards/26866984.jpg|Trias Hierarchia|95.10%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|80.50%|2.77
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|80.50%|2.56
https://images.ygoprodeck.com/images/cards/39114494.jpg|Blessing of the Voiceless Voice|80.50%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|46.30%|2.32
https://images.ygoprodeck.com/images/cards/66425726.jpg|Odd-Eyes Pendulumgraph Dragon|40.20%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|37.80%|2.68
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|31.70%|2.31
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|30.50%|2.44
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|30.50%|1.00
https://images.ygoprodeck.com/images/cards/44362883.jpg|Branded Fusion|29.30%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|29.30%|1.71
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|29.30%|1.04
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|17.10%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|9.80%|2.25
https://images.ygoprodeck.com/images/cards/64881644.jpg|Refrain the Melodious Songstress|8.50%|3.00
https://images.ygoprodeck.com/images/cards/9113513.jpg|Ostinato|8.50%|3.00
https://images.ygoprodeck.com/images/cards/90276649.jpg|Couplet the Melodious Songstress|8.50%|1.14
https://images.ygoprodeck.com/images/cards/31458630.jpg|Melodious Concerto|8.50%|1.00
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|8.50%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|7.30%|2.83
https://images.ygoprodeck.com/images/cards/1984618.jpg|Nadir Servant|4.90%|3.00
https://images.ygoprodeck.com/images/cards/95679145.jpg|Dogmatika Maximus|4.90%|1.00
https://images.ygoprodeck.com/images/cards/98045062.jpg|Enemy Controller|3.70%|2.67
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|3.70%|1.67
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|2.40%|3.00
https://images.ygoprodeck.com/images/cards/97045737.jpg|Dominus Purge|2.40%|3.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|2.40%|2.50
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|2.40%|1.50
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|2.40%|1.00
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|2.40%|1.00
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|2.40%|1.00
https://images.ygoprodeck.com/images/cards/41855169.jpg|Jowgen the Spiritualist|2.40%|1.00
