image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|94.40%|2.88
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|55.60%|2.80
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|50.00%|3.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|50.00%|2.89
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|38.90%|1.00
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|33.30%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|33.30%|2.33
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|33.30%|1.00
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|27.80%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|27.80%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|22.20%|1.50
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|22.20%|1.00
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|16.70%|1.00
https://images.ygoprodeck.com/images/cards/46772449.jpg|Evilswarm Exciton Knight|16.70%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|16.70%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|11.10%|3.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|11.10%|3.00
https://images.ygoprodeck.com/images/cards/53046408.jpg|Emergency Provisions|11.10%|3.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|11.10%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|11.10%|2.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|11.10%|1.00
https://images.ygoprodeck.com/images/cards/19619755.jpg|Performapal Five-Rainbow Magician|11.10%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|11.10%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|11.10%|1.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|5.60%|3.00
https://images.ygoprodeck.com/images/cards/19844995.jpg|Power Filter|5.60%|3.00
https://images.ygoprodeck.com/images/cards/43455065.jpg|Magical Spring|5.60%|3.00
https://images.ygoprodeck.com/images/cards/7811875.jpg|Gravity Collapse|5.60%|3.00
https://images.ygoprodeck.com/images/cards/62995268.jpg|Woes of the White Forest|5.60%|2.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|5.60%|2.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|5.60%|2.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|5.60%|2.00
https://images.ygoprodeck.com/images/cards/821049.jpg|Visas Amritara|5.60%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|5.60%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|5.60%|1.00
https://images.ygoprodeck.com/images/cards/60306277.jpg|Synchro Zone|5.60%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|5.60%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|5.60%|1.00
https://images.ygoprodeck.com/images/cards/92385016.jpg|Munin the Runick Wings|5.60%|1.00
https://images.ygoprodeck.com/images/cards/18158393.jpg|Mannadium Reframing|5.60%|1.00
https://images.ygoprodeck.com/images/cards/83266092.jpg|Grave of the Super Ancient Organism|5.60%|1.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|5.60%|1.00
https://images.ygoprodeck.com/images/cards/33158448.jpg|F.A. Dawn Dragster|5.60%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|5.60%|1.00
