image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|73.60%|2.66
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|63.20%|2.94
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|51.70%|1.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|36.80%|2.84
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|33.30%|1.72
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|32.20%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|28.70%|2.12
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|25.30%|2.64
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|23.00%|2.65
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|21.80%|2.53
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|21.80%|1.00
https://images.ygoprodeck.com/images/cards/93084621.jpg|Unchained Soul of Anguish|18.40%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|18.40%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|17.20%|2.93
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|17.20%|2.93
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|17.20%|1.20
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|17.20%|1.07
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|16.10%|2.36
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|16.10%|1.64
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|16.10%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|14.90%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|13.80%|1.00
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|12.60%|2.46
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|12.60%|1.00
